id,region,province,city,address,has_listo_para_comer,has_cafe_service
1,Galicia,A Coruña,A Coruña,"C/ Ronda Outeiro, 217",t,f
2,Galicia,A Coruña,A Coruña,"Avda. de Oza, 132",f,f
3,Galicia,A Coruña,A Coruña,"Rúa José Pascual López Cortón, 10",f,f
4,Galicia,A Coruña,A Coruña,"Rúa Panadeiras, 28",t,f
5,Galicia,A Coruña,A Coruña,"Estr. Baños de Arteixo, 43",t,f
6,Galicia,A Coruña,Ames,"Avda. de Mahia, 75",t,f
7,Galicia,A Coruña,Ames,"Travesía do Porto, S/N",t,f
8,Galicia,A Coruña,Arteixo,"Avda. Diputación, 75",t,f
9,Galicia,A Coruña,Betanzos,"Avda. Fraga Iribarne, 7",t,f
10,Galicia,A Coruña,Boiro,"Rua Principal, 76",t,f
11,Galicia,A Coruña,Carballo,"Avda. A Revolta, 19",t,f
12,Galicia,A Coruña,Cee,"Lg. Vilar de Toba, S/N",t,f
13,Galicia,A Coruña,Culleredo,"Avda. de Alvedro, 5",t,f
14,Galicia,A Coruña,Fene,"Rúa Áncoras, S/N",t,f
15,Galicia,A Coruña,Ferrol,"San Pedro de Leixa, 293",t,f
16,Galicia,A Coruña,Ferrol,"Rúa Españoleto, 1",t,f
17,Galicia,A Coruña,Narón,"Avda. do Mar, 102",t,f
18,Galicia,A Coruña,Narón,"Ctra. de Cedeira, 296",t,t
19,Galicia,A Coruña,Noia,"C/ Pedra Sartaña, 4",t,f
20,Galicia,A Coruña,Oleiros,"Avda. Ramón Núñez Montero, 52",t,f
21,Galicia,A Coruña,Oleiros,"Avda. das Mariñas, 283",t,f
22,Galicia,A Coruña,Ribeira,"R. Xohana Torres, 12",t,f
23,Galicia,A Coruña,Santiago de Compostela,"Rúa Maria Casares, 5",t,f
24,Galicia,A Coruña,Santiago de Compostela,"Rúa Castela e León, 4",t,t
25,Euskadi,Álava,Vitoria-Gasteiz,"C/ Alto de Armentia, 7",t,f
26,Euskadi,Álava,Vitoria-Gasteiz,"Avda. Olarizu, 1",t,f
27,Euskadi,Álava,Vitoria-Gasteiz,"C/ Düsseldorf, 8",t,f
28,Euskadi,Álava,Vitoria-Gasteiz,"C/ Simón de Anda, 19",t,t
29,Euskadi,Álava,Vitoria-Gasteiz,"C/ Sierra de Andia, 10",t,t
30,Euskadi,Álava,Vitoria-Gasteiz,"C/ Portal de Betoño, 10",t,f
31,Castilla-La Mancha,Albacete,Albacete,"Ctra. Jaén, 11",f,f
32,Castilla-La Mancha,Albacete,Albacete,"C/ Antonio Gotor, 6",f,f
33,Castilla-La Mancha,Albacete,Albacete,"Avda. Ramón y Cajal, 16",t,f
34,Castilla-La Mancha,Albacete,Albacete,"C/ Cristóbal Pérez Pastor, 12",t,f
35,Castilla-La Mancha,Albacete,Albacete,"Avda. Constantino Romero, S/N",t,f
36,Castilla-La Mancha,Albacete,Albacete,"C/ Alcalde Conangla, S/N",t,t
37,Castilla-La Mancha,Albacete,Almansa,"Avda. José Rodríguez Ruano, 16",t,f
38,Castilla-La Mancha,Albacete,Hellín,"C/ Gran Vía, 60",t,f
39,Castilla-La Mancha,Albacete,La Roda,"C/ Brunete, 6",t,f
40,Castilla-La Mancha,Albacete,Villarrobledo,"Avda. Reyes Católicos, 96",t,t
41,Comunidad Valenciana,Alicante,Alicante,"C/ Dr. Ayela, 7",t,f
42,Comunidad Valenciana,Alicante,Alicante,"C/ Calderón de la Barca, 39",t,t
43,Comunidad Valenciana,Alicante,Alicante,"C/ Reyes Católicos, 51",t,f
44,Comunidad Valenciana,Alicante,Alicante,"C/ Alonso Cano, S/N",t,f
45,Comunidad Valenciana,Alicante,Alicante,"C/ Dr. Rico, 5",t,f
46,Comunidad Valenciana,Alicante,Alicante,"Avda. Orihuela, 21",t,f
47,Comunidad Valenciana,Alicante,Alicante,"C/ Caja de Ahorros, S/N",t,f
48,Comunidad Valenciana,Alicante,Alicante,"Avda. de la Condomina, S/N",t,t
49,Comunidad Valenciana,Alicante,Alicante,"Avda. Dr. Jiménez Díaz, 17",t,f
50,Comunidad Valenciana,Alicante,Alicante,"Avda. Las Naciones, 4",t,f
51,Comunidad Valenciana,Alicante,Alicante,"C/ Río Muni, 8",t,f
52,Comunidad Valenciana,Alicante,Alicante,"C/ Los Cincuenta, 46",t,f
