delivery_id,sale_id,dc_id,carrier,tracking_number,dispatch_date,estimated_delivery_date,actual_delivery_date,delivery_status,weight_kg,packages,signature_required,total_amount
ALB-2025-0000001,SO-2025-0000001,DC_BCN,MRW,7640268423980,2025-12-22,2025-12-25,2025-12-25,delivered,2.7,1,False,67.1
ALB-2025-0000004,SO-2025-0000006,DC_SEV,SEUR,3795481442920,2025-12-23,2025-12-25,2025-12-25,delivered,9.3,1,True,193.93
ALB-2025-0000005,SO-2025-0000007,DC_ZGZ,SEUR,2983648645874,2025-12-23,2025-12-25,2025-12-25,delivered,2.4,1,False,66.58
ALB-2025-0000006,SO-2025-0000008,DC_BCN,GLS,2196334270026,2025-12-24,2025-12-25,2025-12-25,delivered,1.5,1,False,32.65
ALB-2025-0000012,SO-2025-0000018,DC_BCN,MRW,8821538595988,2025-12-24,2025-12-25,2025-12-25,delivered,3.3,1,False,58.16
ALB-2025-0000002,SO-2025-0000003,DC_BCN,Correos Express,6480597325708,2025-12-23,2025-12-26,2025-12-26,delivered,10.5,1,True,155.04
ALB-2025-0000008,SO-2025-0000013,DC_SEV,SEUR,0725724271504,2025-12-24,2025-12-26,2025-12-26,delivered,9.3,1,True,185.29
ALB-2025-0000010,SO-2025-0000016,DC_MAD,MRW,4847769147910,2025-12-24,2025-12-26,2025-12-26,delivered,3.3,1,True,109.51
ALB-2025-0000016,SO-2025-0000023,DC_BCN,SEUR,3765456927250,2025-12-25,2025-12-26,2025-12-26,delivered,4.8,1,False,75.39
ALB-2025-0000018,SO-2025-0000026,DC_BCN,Correos Express,6710829484950,2025-12-25,2025-12-26,2025-12-26,delivered,3.0,1,False,71.45
ALB-2025-0000011,SO-2025-0000017,DC_MAD,MRW,6923912073952,2025-12-24,2025-12-27,2025-12-27,delivered,1.5,1,False,29.05
ALB-2025-0000015,SO-2025-0000022,DC_ZGZ,GLS,9156662866005,2025-12-25,2025-12-27,2025-12-27,delivered,6.0,1,True,119.06
ALB-2025-0000019,SO-2025-0000027,DC_BCN,MRW,1744827843651,2025-12-25,2025-12-27,2025-12-27,delivered,2.7,1,False,96.04
ALB-2025-0000023,SO-2025-0000032,DC_BCN,SEUR,3375916886619,2025-12-26,2025-12-27,2025-12-28,delivered,3.0,1,False,91.83
ALB-2025-0000007,SO-2025-0000012,DC_ZGZ,MRW,3873556780039,2025-12-24,2025-12-28,2025-12-28,delivered,3.3,1,True,116.06
ALB-2025-0000009,SO-2025-0000014,DC_SEV,SEUR,2163096083793,2025-12-24,2025-12-28,2025-12-28,delivered,5.1,1,False,75.73
ALB-2025-0000013,SO-2025-0000019,DC_ZGZ,MRW,8626180801994,2025-12-25,2025-12-28,2025-12-29,delivered,0.9,1,False,31.88
ALB-2025-0000017,SO-2025-0000025,DC_BCN,SEUR,7345889422944,2025-12-25,2025-12-28,2025-12-28,delivered,0.3,1,False,19.9
ALB-2025-0000020,SO-2025-0000029,DC_BCN,GLS,6773483180295,2025-12-26,2025-12-28,2025-12-28,delivered,4.8,1,True,143.36
ALB-2025-0000021,SO-2025-0000030,DC_BCN,SEUR,0917248736615,2025-12-26,2025-12-28,2025-12-28,delivered,6.9,1,True,116.3
ALB-2025-0000025,SO-2025-0000036,DC_MAD,Correos Express,4153979921362,2025-12-26,2025-12-28,2025-12-28,delivered,4.5,1,False,85.48
ALB-2025-0000030,SO-2025-0000045,DC_ZGZ,MRW,9491531536657,2025-12-27,2025-12-28,2025-12-28,delivered,2.1,1,False,52.32
ALB-2025-0000032,SO-2025-0000048,DC_VLC,GLS,3832983540284,2025-12-27,2025-12-28,2025-12-28,delivered,2.1,1,False,98.64
ALB-2025-0000033,SO-2025-0000049,DC_BCN,MRW,7665221957149,2025-12-27,2025-12-28,2025-12-28,delivered,1.2,1,False,52.6
ALB-2025-0000003,SO-2025-0000005,DC_SEV,SEUR,3560325645935,2025-12-23,2025-12-29,2025-12-29,delivered,5.1,1,False,59.64
ALB-2025-0000027,SO-2025-0000040,DC_BCN,SEUR,9875036051737,2025-12-27,2025-12-29,2025-12-29,delivered,1.8,1,False,66.77
ALB-2025-0000031,SO-2025-0000047,DC_BCN,MRW,1285359799863,2025-12-27,2025-12-29,2025-12-29,delivered,3.6,1,False,76.61
ALB-2025-0000014,SO-2025-0000020,DC_ZGZ,SEUR,3605064987722,2025-12-25,2025-12-30,2025-12-30,delivered,1.8,1,False,31.52
ALB-2025-0000022,SO-2025-0000031,DC_ZGZ,SEUR,5751710293809,2025-12-26,2025-12-30,2025-12-30,delivered,6.0,1,True,149.08
ALB-2025-0000024,SO-2025-0000034,DC_SEV,MRW,5605637997761,2025-12-26,2025-12-30,2025-12-30,delivered,0.6,1,False,40.6
ALB-2025-0000026,SO-2025-0000039,DC_BCN,MRW,6129145589504,2025-12-27,2025-12-30,2025-12-30,delivered,3.9,1,False,68.86
ALB-2025-0000028,SO-2025-0000043,DC_MAD,SEUR,8418326045523,2025-12-27,2025-12-30,2025-12-30,delivered,4.8,1,True,121.9
ALB-2025-0000036,SO-2025-0000053,DC_ZGZ,MRW,7869026412738,2025-12-29,2025-12-30,2025-12-30,delivered,0.6,1,False,39.64
ALB-2025-0000029,SO-2025-0000044,DC_SEV,MRW,9800286421246,2025-12-27,2025-12-31,2025-12-31,delivered,3.9,1,False,78.46
ALB-2025-0000037,SO-2025-0000055,DC_BCN,SEUR,4207686284244,2025-12-29,2025-12-31,2025-12-31,delivered,1.2,1,False,27.55
ALB-2025-0000043,SO-2025-0000063,DC_BCN,MRW,7714659002611,2025-12-30,2025-12-31,2025-12-31,delivered,1.8,1,True,118.99
ALB-2025-0000039,SO-2025-0000058,DC_MAD,SEUR,8307846033252,2025-12-30,2026-01-01,2026-01-02,delivered,1.2,1,False,44.97
ALB-2025-0000042,SO-2025-0000062,DC_ZGZ,GLS,4570258504857,2025-12-30,2026-01-01,2026-01-01,delivered,4.5,1,False,90.47
ALB-2025-0000044,SO-2025-0000065,DC_SEV,MRW,1017934980961,2025-12-30,2026-01-01,2026-01-01,delivered,3.9,1,False,90.81
ALB-2025-0000046,SO-2025-0000068,DC_BCN,MRW,3545787098509,2025-12-30,2026-01-01,2026-01-01,delivered,0.3,1,False,82.68
ALB-2025-0000047,SO-2025-0000070,DC_BCN,MRW,6036551900745,2025-12-31,2026-01-01,2026-01-01,delivered,10.5,1,True,194.28
ALB-2025-0000053,SO-2025-0000079,DC_BCN,MRW,7908776818593,2025-12-31,2026-01-01,2026-01-01,delivered,1.5,1,False,31.33
ALB-2025-0000056,SO-2025-0000085,DC_BCN,MRW,6817880049416,2025-12-31,2026-01-01,2026-01-01,delivered,8.7,1,True,199.64
ALB-2025-0000034,SO-2025-0000051,DC_SEV,SEUR,4489596055780,2025-12-29,2026-01-02,2026-01-02,delivered,1.8,1,False,24.32
ALB-2025-0000035,SO-2025-0000052,DC_MAD,Correos Express,2653863361450,2025-12-29,2026-01-02,2026-01-02,delivered,3.3,1,False,62.85
ALB-2025-0000040,SO-2025-0000059,DC_ZGZ,SEUR,0739556238662,2025-12-30,2026-01-02,2026-01-02,delivered,1.8,1,False,41.48
ALB-2025-0000041,SO-2025-0000061,DC_BCN,MRW,8508280092400,2025-12-30,2026-01-02,2026-01-02,delivered,5.4,1,False,75.43
ALB-2025-0000048,SO-2025-0000072,DC_BCN,Correos Express,3343082572233,2025-12-31,2026-01-02,2026-01-02,delivered,3.0,1,False,38.05
ALB-2026-0000064,SO-2026-0000095,DC_BCN,SEUR,3788824378280,2026-01-01,2026-01-02,2026-01-02,delivered,2.4,1,False,33.04
ALB-2025-0000038,SO-2025-0000056,DC_SEV,MRW,9897100194162,2025-12-29,2026-01-03,2026-01-03,delivered,6.9,1,True,141.8
ALB-2025-0000045,SO-2025-0000067,DC_ZGZ,GLS,1122905832843,2025-12-30,2026-01-03,2026-01-03,delivered,1.5,1,False,32.03
