receipt_id,po_id,po_line_number,dc_id,product_id,supplier_id,quantity_received,receipt_date,unit_cost
GR-2024-00000001,PO-2024-0000004,1,DC_SEV,PROD_003628,SUP_00007,230,2024-01-03,1.1356
GR-2024-00000002,PO-2024-0000007,1,DC_MAD,PROD_001697,SUP_00019,227,2024-01-03,3.6859
GR-2024-00000003,PO-2024-0000002,1,DC_BCN,PROD_000683,SUP_00015,195,2024-01-04,1.7591
GR-2024-00000004,PO-2024-0000005,1,DC_BCN,PROD_001063,SUP_00005,152,2024-01-04,3.475
GR-2024-00000005,PO-2024-0000006,1,DC_MAD,PROD_002223,SUP_00015,305,2024-01-04,1.5292
GR-2024-00000006,PO-2024-0000008,1,DC_ZGZ,PROD_002258,SUP_00007,236,2024-01-04,0.7651
GR-2024-00000007,PO-2024-0000009,1,DC_ZGZ,PROD_001810,SUP_00015,151,2024-01-04,1.4116
GR-2024-00000008,PO-2024-0000003,1,DC_SEV,PROD_002976,SUP_00005,507,2024-01-05,2.1317
GR-2024-00000009,PO-2024-0000011,1,DC_BCN,PROD_001413,SUP_00007,160,2024-01-05,4.7367
GR-2024-00000010,PO-2024-0000016,1,DC_BCN,PROD_003684,SUP_00015,194,2024-01-06,3.0381
GR-2024-00000011,PO-2024-0000016,2,DC_BCN,PROD_002041,SUP_00015,296,2024-01-06,0.5819
GR-2024-00000012,PO-2024-0000018,1,DC_BCN,PROD_000945,SUP_00007,226,2024-01-06,1.8632
GR-2024-00000013,PO-2024-0000001,1,DC_BCN,PROD_001488,SUP_00016,202,2024-01-07,0.6814
GR-2024-00000014,PO-2024-0000010,1,DC_ZGZ,PROD_000996,SUP_00016,180,2024-01-07,0.4054
GR-2024-00000015,PO-2024-0000010,2,DC_ZGZ,PROD_000151,SUP_00016,372,2024-01-07,0.6734
GR-2024-00000016,PO-2024-0000010,3,DC_ZGZ,PROD_003064,SUP_00016,335,2024-01-07,0.9123
GR-2024-00000017,PO-2024-0000012,1,DC_BCN,PROD_003086,SUP_00005,191,2024-01-07,2.7853
GR-2024-00000018,PO-2024-0000012,2,DC_BCN,PROD_002020,SUP_00005,140,2024-01-07,1.0338
GR-2024-00000019,PO-2024-0000012,3,DC_BCN,PROD_002911,SUP_00005,161,2024-01-07,2.4619
GR-2024-00000020,PO-2024-0000015,1,DC_BCN,PROD_002872,SUP_00016,206,2024-01-07,0.5494
GR-2024-00000021,PO-2024-0000015,2,DC_BCN,PROD_003025,SUP_00016,278,2024-01-07,2.0886
GR-2024-00000022,PO-2024-0000015,3,DC_BCN,PROD_003013,SUP_00016,277,2024-01-07,0.3779
GR-2024-00000023,PO-2024-0000015,4,DC_BCN,PROD_002749,SUP_00016,243,2024-01-07,2.0201
GR-2024-00000024,PO-2024-0000015,5,DC_BCN,PROD_002806,SUP_00016,124,2024-01-07,1.3527
GR-2024-00000025,PO-2024-0000019,1,DC_BCN,PROD_001785,SUP_00007,160,2024-01-07,0.6563
GR-2024-00000026,PO-2024-0000021,1,DC_SEV,PROD_001163,SUP_00007,139,2024-01-07,0.7394
GR-2024-00000027,PO-2024-0000022,1,DC_ZGZ,PROD_000614,SUP_00015,177,2024-01-07,2.0703
GR-2024-00000028,PO-2024-0000023,1,DC_MAD,PROD_002370,SUP_00007,496,2024-01-07,2.0528
GR-2024-00000029,PO-2024-0000025,1,DC_SEV,PROD_000953,SUP_00007,380,2024-01-08,1.6887
GR-2024-00000030,PO-2024-0000027,1,DC_BCN,PROD_000640,SUP_00015,120,2024-01-08,1.8014
GR-2024-00000031,PO-2024-0000032,1,DC_MAD,PROD_002445,SUP_00015,263,2024-01-08,0.8589
GR-2024-00000032,PO-2024-0000020,1,DC_BCN,PROD_002410,SUP_00016,138,2024-01-09,1.3584
GR-2024-00000033,PO-2024-0000029,1,DC_BCN,PROD_000925,SUP_00007,286,2024-01-09,1.3941
GR-2024-00000034,PO-2024-0000035,1,DC_SEV,PROD_001771,SUP_00007,452,2024-01-09,1.1132
