invoice_id,sale_id,delivery_id,customer_id,invoice_date,subtotal_net,tax_breakdown,tax_amount,total_gross,due_date,payment_days,payment_status,payment_date
FAC-2024-0000001,SO-2024-0000001,ALB-2024-0000001,CUST_008D610461E3,2024-01-03,47.4,"{'4%': 0.33, '10%': 1.23, '21%': 5.63}",7.19,54.59,2024-01-03,0,paid,2024-01-03
FAC-2024-0000002,SO-2024-0000002,,CUST_655243FF5011,2024-01-01,61.04,"{'4%': 0.31, '10%': 3.78, '21%': 3.23}",7.32,68.36,2024-01-01,0,paid,2024-01-01
FAC-2024-0000003,SO-2024-0000003,,CUST_25E98D7248E2,2024-01-01,60.8,"{'4%': 0.0, '10%': 5.32, '21%': 1.6}",6.92,67.72,2024-01-01,0,paid,2024-01-02
FAC-2024-0000004,SO-2024-0000004,ALB-2024-0000002,CUST_A66F39669FA7,2024-01-03,31.97,"{'4%': 0.22, '10%': 1.53, '21%': 2.37}",4.12,36.09,2024-01-03,0,paid,2024-01-04
FAC-2024-0000005,SO-2024-0000005,ALB-2024-0000003,CUST_B86623D4526B,2024-01-05,74.91,"{'4%': 0.14, '10%': 3.66, '21%': 7.29}",11.09,86.0,2024-01-20,15,pending,
FAC-2024-0000006,SO-2024-0000006,,CUST_9D9D1BF645F6,2024-01-02,29.39,"{'4%': 0.47, '10%': 1.52, '21%': 0.54}",2.53,31.92,2024-01-02,0,paid,2024-01-02
FAC-2024-0000007,SO-2024-0000007,,CUST_624FBAE1E137,2024-01-02,57.99,"{'4%': 1.0, '10%': 2.08, '21%': 2.58}",5.66,63.65,2024-01-02,0,paid,2024-01-02
FAC-2024-0000008,SO-2024-0000008,,CUST_25E98D7248E2,2024-01-03,67.0,"{'4%': 0.05, '10%': 5.75, '21%': 1.75}",7.55,74.55,2024-01-03,0,paid,2024-01-04
FAC-2024-0000009,SO-2024-0000009,ALB-2024-0000004,CUST_A2119FD34579,2024-01-06,78.66,"{'4%': 0.98, '10%': 3.3, '21%': 4.45}",8.73,87.39,2024-01-06,0,paid,2024-01-07
FAC-2024-0000010,SO-2024-0000010,ALB-2024-0000005,CUST_49A2F7E8F8E5,2024-01-06,31.89,"{'4%': 0.13, '10%': 0.78, '21%': 4.35}",5.26,37.15,2024-01-06,0,paid,2024-01-06
FAC-2024-0000011,SO-2024-0000011,ALB-2024-0000006,CUST_80BB6EC01269,2024-01-04,46.92,"{'4%': 0.05, '10%': 1.66, '21%': 6.12}",7.83,54.75,2024-01-19,15,pending,
FAC-2024-0000012,SO-2024-0000012,,CUST_8E038E969227,2024-01-03,57.13,"{'4%': 0.34, '10%': 3.11, '21%': 3.67}",7.12,64.25,2024-01-03,0,paid,2024-01-04
FAC-2024-0000013,SO-2024-0000013,,CUST_CC393B5AE288,2024-01-03,94.7,"{'4%': 1.11, '10%': 5.66, '21%': 2.19}",8.96,103.66,2024-01-03,0,paid,2024-01-03
FAC-2024-0000014,SO-2024-0000014,ALB-2024-0000007,CUST_DD920DB977A9,2024-01-05,29.27,"{'4%': 0.51, '10%': 1.43, '21%': 0.48}",2.42,31.69,2024-01-05,0,paid,2024-01-05
FAC-2024-0000015,SO-2024-0000015,ALB-2024-0000008,CUST_C60161FA01BA,2024-01-05,13.83,"{'4%': 0.0, '10%': 0.36, '21%': 2.15}",2.51,16.34,2024-01-05,0,paid,2024-01-06
FAC-2024-0000016,SO-2024-0000016,,CUST_DD46475287AA,2024-01-04,24.91,"{'4%': 0.09, '10%': 2.27, '21%': 0.0}",2.36,27.27,2024-01-04,0,paid,2024-01-04
FAC-2024-0000017,SO-2024-0000017,,CUST_6DAA8861FE18,2024-01-04,15.08,"{'4%': 0.06, '10%': 0.54, '21%': 1.73}",2.33,17.41,2024-01-04,0,paid,2024-01-04
FAC-2024-0000018,SO-2024-0000018,ALB-2024-0000009,CUST_AE5E72EB7474,2024-01-06,42.71,"{'4%': 0.21, '10%': 0.75, '21%': 6.26}",7.22,49.93,2024-01-06,0,paid,2024-01-06
FAC-2024-0000019,SO-2024-0000019,,CUST_80BB6EC01269,2024-01-04,53.69,"{'4%': 1.55, '10%': 0.0, '21%': 3.12}",4.67,58.36,2024-01-19,15,pending,
FAC-2024-0000020,SO-2024-0000020,ALB-2024-0000010,CUST_8962929C93B3,2024-01-08,29.05,"{'4%': 0.38, '10%': 1.71, '21%': 0.52}",2.61,31.66,2024-01-23,15,pending,
FAC-2024-0000021,SO-2024-0000021,,CUST_1A57C5F8E2F8,2024-01-04,49.81,"{'4%': 0.08, '10%': 0.65, '21%': 8.68}",9.41,59.22,2024-01-04,0,paid,2024-01-04
FAC-2024-0000022,SO-2024-0000022,,CUST_5C623A3C563E,2024-01-05,72.53,"{'4%': 0.75, '10%': 2.35, '21%': 6.38}",9.48,82.01,2024-01-05,0,paid,2024-01-05
FAC-2024-0000023,SO-2024-0000023,ALB-2024-0000011,CUST_623225074181,2024-01-10,85.36,"{'4%': 0.41, '10%': 5.79, '21%': 3.61}",9.81,95.17,2024-01-10,0,paid,2024-01-10
FAC-2024-0000024,SO-2024-0000024,ALB-2024-0000012,CUST_585A7BFDCC12,2024-01-06,62.08,"{'4%': 0.84, '10%': 1.14, '21%': 6.21}",8.19,70.27,2024-01-06,0,paid,2024-01-06
FAC-2024-0000025,SO-2024-0000025,,CUST_9A3A6E3C4532,2024-01-05,32.75,"{'4%': 0.17, '10%': 0.3, '21%': 5.38}",5.85,38.6,2024-01-05,0,paid,2024-01-06
FAC-2024-0000026,SO-2024-0000026,,CUST_4758A6499CDC,2024-01-05,161.07,"{'4%': 1.23, '10%': 9.37, '21%': 7.69}",18.29,179.36,2024-01-05,0,paid,2024-01-06
FAC-2024-0000027,SO-2024-0000027,ALB-2024-0000013,CUST_8962929C93B3,2024-01-09,39.69,"{'4%': 0.64, '10%': 1.05, '21%': 2.76}",4.45,44.14,2024-01-24,15,pending,
FAC-2024-0000028,SO-2024-0000028,ALB-2024-0000014,CUST_C60161FA01BA,2024-01-09,24.76,"{'4%': 0.27, '10%': 1.81, '21%': 0.0}",2.08,26.84,2024-01-09,0,paid,2024-01-09
FAC-2024-0000029,SO-2024-0000029,ALB-2024-0000015,CUST_9F6ABD54DA04,2024-01-07,80.56,"{'4%': 1.86, '10%': 0.95, '21%': 5.15}",7.96,88.52,2024-01-07,0,paid,2024-01-08
FAC-2024-0000030,SO-2024-0000030,ALB-2024-0000016,CUST_42D951976E75,2024-01-06,21.48,"{'4%': 0.57, '10%': 0.59, '21%': 0.28}",1.44,22.92,2024-01-06,0,paid,2024-01-06
FAC-2024-0000031,SO-2024-0000031,ALB-2024-0000017,CUST_92CA6DE59332,2024-01-08,136.63,"{'4%': 4.4, '10%': 0.31, '21%': 4.97}",9.68,146.31,2024-01-08,0,paid,2024-01-09
FAC-2024-0000032,SO-2024-0000032,ALB-2024-0000018,CUST_A2119FD34579,2024-01-08,68.01,"{'4%': 0.68, '10%': 3.37, '21%': 3.67}",7.72,75.73,2024-01-08,0,paid,2024-01-09
FAC-2024-0000033,SO-2024-0000033,,CUST_58F0AAF78C67,2024-01-07,86.38,"{'4%': 0.05, '10%': 4.78, '21%': 7.84}",12.67,99.05,2024-01-07,0,paid,2024-01-07
FAC-2024-0000034,SO-2024-0000034,ALB-2024-0000019,CUST_1C0FAC7E937C,2024-01-10,147.17,"{'4%': 1.18, '10%': 7.11, '21%': 9.75}",18.04,165.21,2024-01-10,0,paid,2024-01-11
FAC-2024-0000035,SO-2024-0000035,,CUST_55FA458F1F19,2024-01-08,31.06,"{'4%': 0.57, '10%': 0.62, '21%': 2.21}",3.4,34.46,2024-01-08,0,paid,2024-01-08
FAC-2024-0000036,SO-2024-0000036,ALB-2024-0000020,CUST_A66F39669FA7,2024-01-12,37.82,"{'4%': 0.0, '10%': 1.49, '21%': 4.81}",6.3,44.12,2024-01-12,0,paid,2024-01-12
FAC-2024-0000037,SO-2024-0000037,,CUST_501B5EE68495,2024-01-08,15.12,"{'4%': 0.0, '10%': 1.07, '21%': 0.93}",2.0,17.12,2024-01-23,15,pending,
FAC-2024-0000038,SO-2024-0000038,ALB-2024-0000021,CUST_9A6C52171C88,2024-01-09,26.98,"{'4%': 0.0, '10%': 0.81, '21%': 3.97}",4.78,31.76,2024-01-09,0,paid,2024-01-10
FAC-2024-0000039,SO-2024-0000039,ALB-2024-0000022,CUST_DD920DB977A9,2024-01-09,43.32,"{'4%': 0.0, '10%': 3.16, '21%': 2.46}",5.62,48.94,2024-01-09,0,paid,2024-01-09
FAC-2024-0000040,SO-2024-0000040,ALB-2024-0000023,CUST_98159D713084,2024-01-13,97.56,"{'4%': 0.72, '10%': 6.14, '21%': 3.83}",10.69,108.25,2024-01-13,0,paid,2024-01-14
FAC-2024-0000041,SO-2024-0000041,ALB-2024-0000024,CUST_EFFA3040413C,2024-01-10,22.64,"{'4%': 0.03, '10%': 0.43, '21%': 3.66}",4.12,26.76,2024-01-10,0,paid,2024-01-10
FAC-2024-0000042,SO-2024-0000042,,CUST_774F7316CE64,2024-01-09,73.97,"{'4%': 0.89, '10%': 2.42, '21%': 5.76}",9.07,83.04,2024-01-09,0,paid,2024-01-09
