return_id,sale_id,order_id,product_id,customer_id,location_type,location_id,return_date,quantity_returned,unit_price_net,refund_amount,reason,restocked
RET-2024-0000001,SO-2024-0000047,ORD_00000047,PROD_002465,CUST_04AA5CA0C428,DC,DC_BCN,2024-01-23,1,1.83,1.9,expired,0
RET-2024-0000002,SO-2024-0000205,ORD_00000205,PROD_002558,CUST_9E5DC5ACC354,DC,DC_ZGZ,2024-02-18,1,3.15,3.47,expired,1
RET-2024-0000003,SO-2024-0000164,ORD_00000164,PROD_002756,CUST_E8DD1712FB16,DC,DC_SEV,2024-02-19,2,3.0,7.26,expired,1
RET-2024-0000004,SO-2024-0000325,ORD_00000325,PROD_002519,CUST_ABF3FEC21BBE,DC,DC_ZGZ,2024-03-16,1,0.9,0.99,wrong_item,1
RET-2024-0000005,SO-2024-0000769,ORD_00000769,PROD_003364,CUST_966BFCD6BDCA,DC,DC_ZGZ,2024-06-02,1,1.79,2.17,wrong_item,1
RET-2024-0000006,SO-2024-0000769,ORD_00000769,PROD_001223,CUST_966BFCD6BDCA,DC,DC_ZGZ,2024-06-05,2,1.55,3.22,expired,1
RET-2024-0000007,SO-2024-0000842,ORD_00000842,PROD_001132,CUST_592A7BA109D0,DC,DC_SEV,2024-06-13,4,2.09,8.69,damaged,0
RET-2024-0000008,SO-2024-0000842,ORD_00000842,PROD_001719,CUST_592A7BA109D0,DC,DC_SEV,2024-06-23,3,1.95,6.44,wrong_item,1
RET-2024-0000009,SO-2024-0000907,ORD_00000907,PROD_002971,CUST_45F52E2FBF77,DC,DC_BCN,2024-07-02,1,4.23,5.12,unwanted,1
RET-2024-0000010,SO-2024-0000907,ORD_00000907,PROD_002679,CUST_45F52E2FBF77,DC,DC_BCN,2024-07-02,2,14.69,35.55,wrong_item,1
RET-2024-0000011,SO-2024-0000937,ORD_00000937,PROD_003693,CUST_A66F39669FA7,DC,DC_MAD,2024-07-11,1,0.37,0.45,expired,1
RET-2024-0000012,SO-2024-0000937,ORD_00000937,PROD_001435,CUST_A66F39669FA7,DC,DC_MAD,2024-07-12,1,3.35,3.48,unwanted,1
RET-2024-0000013,SO-2024-0001282,ORD_00001282,PROD_002274,CUST_80BB6EC01269,DC,DC_BCN,2024-09-07,1,5.0,5.5,damaged,1
RET-2024-0000014,SO-2024-0001294,ORD_00001294,PROD_000671,CUST_11849E11D2CD,DC,DC_ZGZ,2024-09-08,1,1.7,1.87,wrong_item,1
RET-2024-0000015,SO-2024-0001294,ORD_00001294,PROD_003383,CUST_11849E11D2CD,DC,DC_ZGZ,2024-09-17,1,1.8,2.18,unwanted,1
RET-2024-0000016,SO-2024-0001342,ORD_00001342,PROD_002852,CUST_9A3A6E3C4532,DC,DC_BCN,2024-09-18,3,2.25,8.17,wrong_item,1
RET-2024-0000017,SO-2024-0001361,ORD_00001361,PROD_002745,CUST_FBA6CDBCC653,DC,DC_MAD,2024-09-23,1,3.9,4.72,unwanted,1
RET-2024-0000018,SO-2024-0001464,ORD_00001464,PROD_002926,CUST_9E2A0F79A8A7,DC,DC_MAD,2024-10-18,4,3.4,16.46,unwanted,1
RET-2024-0000019,SO-2024-0001508,ORD_00001508,PROD_003273,CUST_AB0B15F0EA19,DC,DC_BCN,2024-10-28,5,0.9,5.45,unwanted,1
RET-2024-0000020,SO-2024-0001787,ORD_00001787,PROD_001332,CUST_84410299436A,DC,DC_BCN,2024-12-10,2,2.32,5.1,damaged,1
RET-2024-0000021,SO-2024-0001789,ORD_00001789,PROD_002461,CUST_9C100F6B40D0,DC,DC_MAD,2024-12-13,1,1.0,1.04,wrong_item,1
RET-2024-0000022,SO-2024-0001842,ORD_00001842,PROD_002669,CUST_9E2A0F79A8A7,DC,DC_MAD,2024-12-15,1,0.65,0.79,damaged,1
RET-2024-0000023,SO-2024-0001789,ORD_00001789,PROD_000703,CUST_9C100F6B40D0,DC,DC_MAD,2024-12-16,3,1.8,5.94,expired,1
RET-2024-0000024,SO-2024-0001842,ORD_00001842,PROD_001287,CUST_9E2A0F79A8A7,DC,DC_MAD,2024-12-20,1,2.25,2.48,wrong_item,1
