waste_id,date,product_id,category,location_type,location_id,quantity,unit_cost,lost_cost,reason
WST-2024-00000001,2024-01-03,PROD_000809,carne_pescado,STORE,ST_00938,1,1.4013,1.4,caducidad
WST-2024-00000002,2024-01-07,PROD_002229,carne_pescado,DC,DC_ZGZ,1,1.3053,1.31,caducidad
WST-2024-00000003,2024-01-09,PROD_000317,lacteos,DC,DC_BCN,2,1.3918,2.78,caducidad
WST-2024-00000004,2024-01-12,PROD_002474,congelados,DC,DC_ZGZ,2,2.3644,4.73,caducidad
WST-2024-00000005,2024-01-14,PROD_002216,congelados,DC,DC_ZGZ,2,3.2294,6.46,caducidad
WST-2024-00000006,2024-01-16,PROD_003650,carne_pescado,DC,DC_ZGZ,2,1.9373,3.87,caducidad
WST-2024-00000007,2024-01-23,PROD_001275,carne_pescado,STORE,ST_00952,1,1.4605,1.46,caducidad
WST-2024-00000008,2024-01-23,PROD_000358,panaderia,DC,DC_MAD,1,1.7419,1.74,caducidad
WST-2024-00000009,2024-01-25,PROD_000675,congelados,STORE,ST_00952,1,1.0227,1.02,caducidad
WST-2024-00000010,2024-01-27,PROD_002211,carne_pescado,STORE,ST_01294,3,3.3354,10.01,caducidad
WST-2024-00000011,2024-01-28,PROD_002477,lacteos,DC,DC_BCN,2,8.6156,17.23,caducidad
WST-2024-00000012,2024-01-30,PROD_001831,panaderia,STORE,ST_00952,3,0.3389,1.02,caducidad
WST-2024-00000013,2024-01-31,PROD_002384,lacteos,STORE,ST_01403,1,0.7652,0.77,caducidad
WST-2024-00000014,2024-02-02,PROD_002442,congelados,DC,DC_SEV,2,6.1072,12.21,caducidad
WST-2024-00000015,2024-02-02,PROD_002501,carne_pescado,DC,DC_ZGZ,2,1.7566,3.51,caducidad
WST-2024-00000016,2024-02-02,PROD_002049,congelados,DC,DC_ZGZ,1,1.3743,1.37,caducidad
WST-2024-00000017,2024-02-02,PROD_002608,carne_pescado,DC,DC_ZGZ,1,2.0316,2.03,caducidad
WST-2024-00000018,2024-02-03,PROD_002063,panaderia,DC,DC_VLC,2,8.1406,16.28,caducidad
WST-2024-00000019,2024-02-05,PROD_003674,lacteos,DC,DC_BCN,1,1.2492,1.25,caducidad
WST-2024-00000020,2024-02-10,PROD_002119,lacteos,DC,DC_MAD,1,3.9858,3.99,caducidad
WST-2024-00000021,2024-02-10,PROD_001653,panaderia,DC,DC_BCN,1,0.718,0.72,caducidad
WST-2024-00000022,2024-02-10,PROD_000575,lacteos,DC,DC_VLC,1,1.0054,1.01,caducidad
WST-2024-00000023,2024-02-11,PROD_000946,carne_pescado,STORE,ST_00952,1,4.959,4.96,caducidad
WST-2024-00000024,2024-02-13,PROD_001615,congelados,DC,DC_BCN,1,1.5726,1.57,caducidad
WST-2024-00000025,2024-02-17,PROD_000871,lacteos,DC,DC_MAD,1,7.4491,7.45,caducidad
WST-2024-00000026,2024-02-18,PROD_001983,carne_pescado,DC,DC_ZGZ,3,2.2843,6.85,caducidad
WST-2024-00000027,2024-02-23,PROD_001834,panaderia,STORE,ST_00374,3,1.3025,3.91,caducidad
WST-2024-00000028,2024-02-26,PROD_000425,lacteos,DC,DC_MAD,1,0.8755,0.88,caducidad
WST-2024-00000029,2024-03-05,PROD_003682,lacteos,DC,DC_BCN,2,1.0667,2.13,caducidad
WST-2024-00000030,2024-03-07,PROD_000836,lacteos,DC,DC_BCN,3,0.784,2.35,caducidad
WST-2024-00000031,2024-03-16,PROD_000614,panaderia,DC,DC_BCN,2,2.3642,4.73,caducidad
WST-2024-00000032,2024-03-20,PROD_002319,congelados,DC,DC_ZGZ,1,3.1769,3.18,caducidad
WST-2024-00000033,2024-03-21,PROD_001092,carne_pescado,STORE,ST_00359,1,1.9358,1.94,caducidad
WST-2024-00000034,2024-03-22,PROD_002103,lacteos,DC,DC_VLC,3,4.1854,12.56,caducidad
WST-2024-00000035,2024-03-22,PROD_000614,panaderia,DC,DC_ZGZ,3,2.0703,6.21,caducidad
WST-2024-00000036,2024-03-30,PROD_003569,infantil,DC,DC_ZGZ,1,7.6954,7.7,caducidad
WST-2024-00000037,2024-04-06,PROD_003589,infantil,STORE,ST_00938,3,2.8491,8.55,caducidad
WST-2024-00000038,2024-04-06,PROD_000884,carne_pescado,STORE,ST_00981,1,8.7131,8.71,caducidad
WST-2024-00000039,2024-04-09,PROD_000706,panaderia,DC,DC_MAD,3,1.3685,4.11,caducidad
WST-2024-00000040,2024-04-09,PROD_000143,panaderia,DC,DC_MAD,1,2.4037,2.4,caducidad
WST-2024-00000041,2024-04-10,PROD_000287,panaderia,STORE,ST_00076,1,0.6854,0.69,caducidad
WST-2024-00000042,2024-04-20,PROD_002383,congelados,DC,DC_ZGZ,2,2.5913,5.18,caducidad
WST-2024-00000043,2024-04-22,PROD_001684,lacteos,DC,DC_ZGZ,2,1.1695,2.34,caducidad
WST-2024-00000044,2024-04-24,PROD_000953,lacteos,DC,DC_SEV,1,1.6887,1.69,caducidad
WST-2024-00000045,2024-04-24,PROD_000485,carne_pescado,DC,DC_VLC,2,3.2639,6.53,caducidad
WST-2024-00000046,2024-04-26,PROD_001501,carne_pescado,STORE,ST_00952,1,1.6113,1.61,caducidad
WST-2024-00000047,2024-04-29,PROD_002166,lacteos,STORE,ST_00981,2,1.378,2.76,caducidad
WST-2024-00000048,2024-05-01,PROD_000550,carne_pescado,STORE,ST_00374,1,1.2917,1.29,caducidad
WST-2024-00000049,2024-05-02,PROD_002352,congelados,STORE,ST_01403,1,1.8715,1.87,caducidad
WST-2024-00000050,2024-05-03,PROD_001261,panaderia,DC,DC_BCN,2,2.7313,5.46,caducidad
WST-2024-00000051,2024-05-08,PROD_000558,lacteos,STORE,ST_00981,1,1.2903,1.29,caducidad
WST-2024-00000052,2024-05-11,PROD_000551,carne_pescado,DC,DC_MAD,2,1.4085,2.82,caducidad
WST-2024-00000053,2024-05-12,PROD_001686,carne_pescado,DC,DC_MAD,3,1.6134,4.84,caducidad
WST-2024-00000054,2024-05-12,PROD_000786,lacteos,DC,DC_MAD,1,1.2515,1.25,caducidad
WST-2024-00000055,2024-05-14,PROD_001292,carne_pescado,DC,DC_MAD,1,5.0501,5.05,caducidad
WST-2024-00000056,2024-05-14,PROD_001436,panaderia,DC,DC_BCN,2,2.8089,5.62,caducidad
WST-2024-00000057,2024-05-14,PROD_001983,carne_pescado,DC,DC_BCN,1,2.5786,2.58,caducidad
WST-2024-00000058,2024-05-14,PROD_001801,lacteos,DC,DC_BCN,2,0.9591,1.92,caducidad
WST-2024-00000059,2024-05-17,PROD_000623,carne_pescado,DC,DC_ZGZ,3,1.2746,3.82,caducidad
WST-2024-00000060,2024-05-18,PROD_000444,congelados,DC,DC_SEV,1,2.0192,2.02,caducidad
WST-2024-00000061,2024-05-23,PROD_000415,carne_pescado,DC,DC_SEV,2,1.3017,2.6,caducidad
WST-2024-00000062,2024-05-23,PROD_002102,carne_pescado,DC,DC_MAD,1,2.0956,2.1,caducidad
WST-2024-00000063,2024-05-30,PROD_000946,carne_pescado,DC,DC_ZGZ,2,4.5415,9.08,caducidad
WST-2024-00000064,2024-06-01,PROD_002770,infantil,DC,DC_ZGZ,1,2.5436,2.54,caducidad
WST-2024-00000065,2024-06-03,PROD_001434,panaderia,STORE,ST_00938,3,1.2539,3.76,caducidad
WST-2024-00000066,2024-06-05,PROD_002330,lacteos,STORE,ST_00277,1,0.8371,0.84,caducidad
WST-2024-00000067,2024-06-07,PROD_000412,lacteos,STORE,ST_00076,1,0.4742,0.47,caducidad
WST-2024-00000068,2024-06-13,PROD_003574,infantil,STORE,ST_00938,1,4.9006,4.9,caducidad
WST-2024-00000069,2024-06-14,PROD_002201,carne_pescado,STORE,ST_00938,1,1.4973,1.5,caducidad
WST-2024-00000070,2024-06-15,PROD_002548,lacteos,STORE,ST_00952,2,6.0854,12.17,caducidad
WST-2024-00000071,2024-06-19,PROD_000480,carne_pescado,STORE,ST_00938,2,4.7223,9.44,caducidad
WST-2024-00000072,2024-06-22,PROD_002527,carne_pescado,DC,DC_BCN,1,3.7995,3.8,caducidad
WST-2024-00000073,2024-06-24,PROD_001226,lacteos,STORE,ST_00938,1,0.8933,0.89,caducidad
WST-2024-00000074,2024-06-25,PROD_001414,carne_pescado,STORE,ST_00076,1,1.673,1.67,caducidad
WST-2024-00000075,2024-06-27,PROD_001754,carne_pescado,DC,DC_MAD,2,2.1728,4.35,caducidad
WST-2024-00000076,2024-06-28,PROD_000577,carne_pescado,DC,DC_MAD,1,2.5093,2.51,caducidad
WST-2024-00000077,2024-07-05,PROD_000577,carne_pescado,STORE,ST_00938,1,2.6119,2.61,caducidad
WST-2024-00000078,2024-07-08,PROD_000555,congelados,DC,DC_BCN,1,1.2724,1.27,caducidad
WST-2024-00000079,2024-07-16,PROD_002312,carne_pescado,DC,DC_BCN,1,1.365,1.36,caducidad
WST-2024-00000080,2024-07-18,PROD_001219,congelados,DC,DC_BCN,1,2.1533,2.15,caducidad
WST-2024-00000081,2024-07-24,PROD_002195,carne_pescado,STORE,ST_00076,1,0.8671,0.87,caducidad
WST-2024-00000082,2024-07-27,PROD_000864,lacteos,DC,DC_BCN,1,1.5348,1.53,caducidad
WST-2024-00000083,2024-08-02,PROD_001181,lacteos,DC,DC_VLC,1,0.7941,0.79,caducidad
WST-2024-00000084,2024-08-04,PROD_001275,carne_pescado,DC,DC_ZGZ,1,1.3532,1.35,caducidad
WST-2024-00000085,2024-08-05,PROD_002512,panaderia,DC,DC_ZGZ,1,1.1429,1.14,caducidad
WST-2024-00000086,2024-08-06,PROD_002542,lacteos,STORE,ST_00938,1,1.0664,1.07,caducidad
WST-2024-00000087,2024-08-07,PROD_000583,carne_pescado,STORE,ST_01403,1,1.6864,1.69,caducidad
WST-2024-00000088,2024-08-09,PROD_001368,panaderia,STORE,ST_00981,1,1.7639,1.76,caducidad
WST-2024-00000089,2024-08-13,PROD_000259,lacteos,STORE,ST_00076,2,0.5993,1.2,caducidad
WST-2024-00000090,2024-08-14,PROD_000595,carne_pescado,DC,DC_ZGZ,1,1.9618,1.96,caducidad
WST-2024-00000091,2024-08-15,PROD_001856,lacteos,DC,DC_MAD,1,0.9478,0.95,caducidad
WST-2024-00000092,2024-08-16,PROD_002162,carne_pescado,STORE,ST_00981,1,2.2325,2.23,caducidad
WST-2024-00000093,2024-08-16,PROD_001031,panaderia,STORE,ST_00938,2,1.2638,2.53,caducidad
WST-2024-00000094,2024-08-21,PROD_002401,carne_pescado,DC,DC_ZGZ,3,1.8812,5.64,caducidad
WST-2024-00000095,2024-08-23,PROD_001926,lacteos,DC,DC_ZGZ,1,3.3955,3.4,caducidad
WST-2024-00000096,2024-08-25,PROD_001219,congelados,DC,DC_ZGZ,1,2.0113,2.01,caducidad
WST-2024-00000097,2024-08-25,PROD_001796,congelados,DC,DC_ZGZ,2,1.5511,3.1,caducidad
WST-2024-00000098,2024-08-29,PROD_003602,infantil,STORE,ST_00981,1,0.6814,0.68,caducidad
WST-2024-00000099,2024-08-30,PROD_002461,panaderia,DC,DC_BCN,2,0.8386,1.68,caducidad
WST-2024-00000100,2024-08-31,PROD_001142,lacteos,DC,DC_ZGZ,2,0.8074,1.61,caducidad
WST-2024-00000101,2024-09-05,PROD_001314,carne_pescado,DC,DC_VLC,1,1.8341,1.83,caducidad
WST-2024-00000102,2024-09-06,PROD_002419,congelados,STORE,ST_00938,1,4.1863,4.19,caducidad
