product_id,sku,name,brand,category,category_path,price,unit,image_url,active,category_group,barcode,sale_price,cost_price,tax_rate,iva_type,unit_of_measure,supplier_code,active_since,shelf_life_days,is_perishable
PROD_000001,59cf8edf722d6a49883a9374,Gel higiene intimo liquido hidratante con dosificador,Deliplus,Gel Íntimo,Perfumería y Parafarmacia > Higiene Íntima > Gel Íntimo,2.25,Botella 500 ml,https://a0.soysuper.com/e05b9f2ca556118b5dee3ab4d1ba7787.110.110.0.min.wmark.98998f6b.jpg,True,higiene_personal,3856074727919,1.8595,1.0516,0.21,S1,UND,PRV-00066,2021-07-15,,0
PROD_000002,62ef639ce6ed400df024fc91,Perfilador labios normal Nº 07 cereza,Deliplus,Maquillaje para Labios,Perfumería y Parafarmacia > Maquillaje > Maquillaje para Labios,2.5,U,https://a2.soysuper.com/8fb37933937598a85edc52c0733e2427.110.110.0.min.wmark.85d4f71c.jpg,True,cosmetica,7657761606250,2.0661,1.1736,0.21,S1,UND,PRV-00046,2023-07-30,,0
PROD_000003,69b2eaf41452a0194934fef1,Laca uñas Nº 138 rosa,Deliplus,Laca para Uñas,Perfumería y Parafarmacia > Maquillaje > Laca para Uñas,2.5,U,https://a0.soysuper.com/5854fec91b35d4508befcac466132b8f.110.110.0.min.wmark.256ee7ac.jpg,True,cosmetica,0385927557043,2.0661,1.2389,0.21,S1,UND,PRV-00026,2023-08-15,,0
PROD_000004,6927017ae6ed4057b04ac84b,"Paleta cosmetica ojos sombras nude romance (contiene sombras mate ,satinadas e iluminador)",Deliplus,Maquillaje para Ojos,Perfumería y Parafarmacia > Maquillaje > Maquillaje para Ojos,6.5,U,https://a1.soysuper.com/5109261f129bbd54867a079e8ee2a989.110.110.0.min.wmark.a4cdf7ab.jpg,True,cosmetica,0614544329529,5.3719,2.8193,0.21,S1,UND,PRV-00015,2021-01-28,,0
PROD_000005,67c5c5561452a07f8d428f25,Colorete liquido blush mate Nº 01 rosa amarronado,Deliplus,Maquillaje Facial,Perfumería y Parafarmacia > Maquillaje > Maquillaje Facial,4.76,U,https://a1.soysuper.com/8fc2ee9bd868f4164bb9de1a0f4a7b5f.110.110.0.min.wmark.9dadf90c.jpg,True,cosmetica,2699819909178,3.9339,2.0968,0.21,S1,UND,PRV-00075,2023-12-05,,0
PROD_000006,696224d70932f7179c662ac4,Laca uñas Nº 134 topo,Deliplus,Laca para Uñas,Perfumería y Parafarmacia > Maquillaje > Laca para Uñas,2.5,U,https://a1.soysuper.com/fdad0d7ac7ce396bcd0c7486e8998a90.110.110.0.min.wmark.7f43dc80.jpg,True,cosmetica,7149943518142,2.0661,1.2126,0.21,S1,UND,PRV-00014,2021-04-04,,0
PROD_000007,68cedf440932f74a425d2ead,Maquillaje fluido serum Nº 300,Deliplus,Maquillaje Facial,Perfumería y Parafarmacia > Maquillaje > Maquillaje Facial,7.0,U,https://a2.soysuper.com/cf004dd1003a846682ef3aae8e59d7eb.110.110.0.min.wmark.5256ea89.jpg,True,cosmetica,9781620785096,5.7851,3.4827,0.21,S1,UND,PRV-00060,2023-10-25,,0
PROD_000008,681c52638ca63c493d53fb10,Gel baño dermo aroma piel normal tiernos recuerdos,Deliplus,Gel de Baño,Perfumería y Parafarmacia > Cuidado Corporal > Gel de Baño,1.59,Botella 750 ml,https://a0.soysuper.com/65c6bb9b6d59b220376d8414d530512a.110.110.0.min.wmark.6e4f1d6e.jpg,True,cosmetica,2293608305655,1.314,0.707,0.21,S1,UND,PRV-00019,2020-07-25,,0
PROD_000009,673c7d81722d6a24712462a8,Perfilador ojos automatico Nº 15 azul,Deliplus,Maquillaje para Ojos,Perfumería y Parafarmacia > Maquillaje > Maquillaje para Ojos,2.5,U,https://a2.soysuper.com/c39cb69d510512e831f5d17c40266ec4.110.110.0.min.wmark.3ebee2a1.jpg,True,cosmetica,2483565649132,2.0661,1.1103,0.21,S1,UND,PRV-00066,2020-08-22,,0
PROD_000010,66277324e93cdf45d6062c85,Toallitas humedas refrescantes tejido suave (sobre monodosis),Deliplus,Toallitas Íntimas Frescas,Perfumería y Parafarmacia > Higiene Íntima > Toallitas Íntimas Frescas,1.0,Paquete 10 u,https://a1.soysuper.com/2b8dad8683828c27e4acba08bb7ad754.110.110.0.min.wmark.7080b5e8.jpg,True,higiene_personal,0785074461215,0.8264,0.4559,0.21,S1,UND,PRV-00071,2022-01-10,,0
PROD_000011,68cedf46722d6a6924489120,Maquillaje fluido mate long lasting Nº220,Deliplus,Maquillaje Facial,Perfumería y Parafarmacia > Maquillaje > Maquillaje Facial,6.5,U,https://a2.soysuper.com/cb141d3e8729113f42925d2b91b2c5a2.110.110.0.min.wmark.692bddec.jpg,True,cosmetica,7630533375745,5.3719,3.0504,0.21,S1,UND,PRV-00032,2018-02-04,,0
PROD_000012,69911c73a44508f9471333a2,Mascara pestañas curve xl negra (efecto lifting),Deliplus,Maquillaje para Ojos,Perfumería y Parafarmacia > Maquillaje > Maquillaje para Ojos,4.5,U,https://a1.soysuper.com/90c0e5dc8cef6275519ff10ec0e98f07.110.110.0.min.wmark.017636f6.jpg,True,cosmetica,5277785321971,3.719,2.0587,0.21,S1,UND,PRV-00057,2023-05-19,,0
PROD_000013,69f44299722d6a437e13cd26,Laca uñas Nº 145 azul (coleccion verano),Deliplus,Laca para Uñas,Perfumería y Parafarmacia > Maquillaje > Laca para Uñas,2.5,U,https://a0.soysuper.com/f8b265391a7f950423b789e4861984f8.110.110.0.min.wmark.374b547f.jpg,True,cosmetica,8863449067728,2.0661,1.188,0.21,S1,UND,PRV-00055,2020-04-07,,0
