po_id,line_number,product_id,quantity_ordered,unit_cost,tax_rate,line_total_net
PO-2024-0000001,1,PROD_001488,217,0.6814,0.1,147.86
PO-2024-0000002,1,PROD_000683,200,1.7591,0.04,351.82
PO-2024-0000003,1,PROD_002976,519,2.1317,0.1,1106.35
PO-2024-0000004,1,PROD_003628,255,1.1356,0.21,289.58
PO-2024-0000005,1,PROD_001063,183,3.475,0.1,635.93
PO-2024-0000006,1,PROD_002223,396,1.5292,0.04,605.56
PO-2024-0000007,1,PROD_001697,293,3.6859,0.1,1079.97
PO-2024-0000008,1,PROD_002258,251,0.7651,0.21,192.04
PO-2024-0000009,1,PROD_001810,163,1.4116,0.04,230.09
PO-2024-0000010,1,PROD_000996,188,0.4054,0.1,76.22
PO-2024-0000010,2,PROD_000151,373,0.6734,0.1,251.18
PO-2024-0000010,3,PROD_003064,347,0.9123,0.21,316.57
PO-2024-0000011,1,PROD_001413,169,4.7367,0.04,800.5
PO-2024-0000012,1,PROD_003086,207,2.7853,0.1,576.56
PO-2024-0000012,2,PROD_002020,142,1.0338,0.1,146.8
PO-2024-0000012,3,PROD_002911,170,2.4619,0.1,418.52
PO-2024-0000013,1,PROD_001902,134,1.7181,0.1,230.23
PO-2024-0000013,2,PROD_001105,276,1.1292,0.1,311.66
PO-2024-0000013,3,PROD_001633,334,1.2853,0.1,429.29
PO-2024-0000014,1,PROD_000367,365,2.1522,0.1,785.55
PO-2024-0000014,2,PROD_001987,250,4.979,0.1,1244.75
PO-2024-0000014,3,PROD_001487,163,2.643,0.1,430.81
PO-2024-0000015,1,PROD_002872,236,0.5494,0.21,129.66
PO-2024-0000015,2,PROD_003025,303,2.0886,0.21,632.85
PO-2024-0000015,3,PROD_003013,308,0.3779,0.21,116.39
PO-2024-0000015,4,PROD_002749,282,2.0201,0.21,569.67
PO-2024-0000015,5,PROD_002806,145,1.3527,0.21,196.14
PO-2024-0000016,1,PROD_003684,238,3.0381,0.04,723.07
PO-2024-0000016,2,PROD_002041,395,0.5819,0.04,229.85
PO-2024-0000017,1,PROD_003284,278,0.6682,0.21,185.76
PO-2024-0000018,1,PROD_000945,262,1.8632,0.04,488.16
PO-2024-0000019,1,PROD_001785,168,0.6563,0.04,110.26
PO-2024-0000020,1,PROD_002410,159,1.3584,0.1,215.99
PO-2024-0000021,1,PROD_001163,155,0.7394,0.21,114.61
PO-2024-0000022,1,PROD_000614,201,2.0703,0.04,416.13
PO-2024-0000023,1,PROD_002370,604,2.0528,0.04,1239.89
PO-2024-0000024,1,PROD_001666,198,2.0472,0.1,405.35
PO-2024-0000024,2,PROD_001613,213,1.9049,0.1,405.74
PO-2024-0000025,1,PROD_000953,458,1.6887,0.04,773.42
PO-2024-0000026,1,PROD_000538,288,2.0386,0.1,587.12
PO-2024-0000027,1,PROD_000640,145,1.8014,0.04,261.2
PO-2024-0000028,1,PROD_002395,186,1.0516,0.1,195.6
PO-2024-0000028,2,PROD_000377,204,1.24,0.1,252.96
PO-2024-0000029,1,PROD_000925,328,1.3941,0.04,457.26
PO-2024-0000030,1,PROD_002626,361,0.5049,0.21,182.27
PO-2024-0000031,1,PROD_003117,466,0.5383,0.21,250.85
PO-2024-0000031,2,PROD_001044,527,0.9634,0.1,507.71
PO-2024-0000032,1,PROD_002445,302,0.8589,0.04,259.39
PO-2024-0000033,1,PROD_003445,228,0.9898,0.21,225.67
PO-2024-0000034,1,PROD_002565,261,1.0263,0.1,267.86
PO-2024-0000035,1,PROD_001771,530,1.1132,0.04,590.0
PO-2024-0000036,1,PROD_002367,179,0.6527,0.1,116.83
PO-2024-0000037,1,PROD_002962,347,1.8254,0.21,633.41
PO-2024-0000038,1,PROD_003663,255,1.6637,0.1,424.24
PO-2024-0000039,1,PROD_002405,479,1.798,0.1,861.24
PO-2024-0000040,1,PROD_002592,425,6.4267,0.1,2731.35
PO-2024-0000041,1,PROD_002305,346,2.9614,0.1,1024.64
PO-2024-0000042,1,PROD_000089,493,0.4459,0.21,219.83
PO-2024-0000043,1,PROD_001747,174,0.6474,0.21,112.65
PO-2024-0000044,1,PROD_000870,188,2.3421,0.1,440.31
PO-2024-0000045,1,PROD_002085,119,0.7469,0.1,88.88
PO-2024-0000045,2,PROD_002234,177,1.2118,0.1,214.49
PO-2024-0000045,3,PROD_000323,222,1.0619,0.1,235.74
PO-2024-0000046,1,PROD_002036,224,3.5362,0.1,792.11
PO-2024-0000047,1,PROD_003550,286,0.5411,0.21,154.75
PO-2024-0000048,1,PROD_003103,315,2.0453,0.21,644.27
PO-2024-0000049,1,PROD_000168,271,2.1721,0.04,588.64
PO-2024-0000050,1,PROD_003047,262,1.2128,0.21,317.75
PO-2024-0000051,1,PROD_002334,399,0.6907,0.04,275.59
PO-2024-0000052,1,PROD_000011,208,3.2977,0.21,685.92
PO-2024-0000053,1,PROD_001748,208,0.9543,0.1,198.49
PO-2024-0000054,1,PROD_001594,214,0.7965,0.21,170.45
PO-2024-0000054,2,PROD_001221,283,2.601,0.21,736.08
PO-2024-0000055,1,PROD_001929,315,1.1482,0.04,361.68
PO-2024-0000056,1,PROD_001274,242,7.8875,0.1,1908.78
PO-2024-0000057,1,PROD_000936,388,1.3318,0.04,516.74
PO-2024-0000058,1,PROD_000523,166,2.4399,0.1,405.02
PO-2024-0000059,1,PROD_002658,353,1.6236,0.1,573.13
PO-2024-0000060,1,PROD_001844,398,0.9924,0.1,394.98
PO-2024-0000061,1,PROD_000293,295,1.2903,0.04,380.64
PO-2024-0000062,1,PROD_003301,381,0.8465,0.21,322.52
PO-2024-0000063,1,PROD_000164,510,2.4097,0.1,1228.95
PO-2024-0000064,1,PROD_000228,362,0.2762,0.1,99.98
PO-2024-0000064,2,PROD_001069,261,1.1052,0.1,288.46
PO-2024-0000065,1,PROD_002450,533,3.938,0.1,2098.95
PO-2024-0000066,1,PROD_000686,320,0.8286,0.1,265.15
PO-2024-0000067,1,PROD_000203,229,4.5384,0.04,1039.29
PO-2024-0000068,1,PROD_003029,386,1.3319,0.21,514.11
PO-2024-0000069,1,PROD_002216,181,3.2294,0.1,584.52
PO-2024-0000070,1,PROD_002462,576,4.0893,0.1,2355.44
PO-2024-0000071,1,PROD_003307,262,0.6029,0.21,157.96
PO-2024-0000072,1,PROD_003669,427,1.2678,0.04,541.35
PO-2024-0000073,1,PROD_003466,182,2.3557,0.21,428.74
PO-2024-0000074,1,PROD_002824,304,1.8678,0.21,567.81
PO-2024-0000075,1,PROD_001923,205,4.6662,0.1,956.57
PO-2024-0000076,1,PROD_002830,237,1.8641,0.21,441.79
PO-2024-0000076,2,PROD_002792,220,0.7437,0.21,163.61
PO-2024-0000077,1,PROD_002539,189,1.4272,0.04,269.74
PO-2024-0000078,1,PROD_002288,355,2.5859,0.04,917.99
PO-2024-0000079,1,PROD_001297,177,1.021,0.04,180.72
PO-2024-0000079,2,PROD_001996,176,1.5298,0.04,269.24
PO-2024-0000080,1,PROD_003199,263,4.3299,0.1,1138.76
PO-2024-0000080,2,PROD_002062,162,0.5914,0.1,95.81
PO-2024-0000081,1,PROD_001889,350,2.6775,0.1,937.13
PO-2024-0000081,2,PROD_001954,285,3.3544,0.1,956.0
PO-2024-0000082,1,PROD_002228,306,0.9905,0.1,303.09
PO-2024-0000083,1,PROD_003370,124,0.9221,0.21,114.34
PO-2024-0000084,1,PROD_003215,413,1.6479,0.21,680.58
PO-2024-0000085,1,PROD_002581,466,0.9894,0.1,461.06
PO-2024-0000086,1,PROD_001382,283,0.76,0.1,215.08
PO-2024-0000087,1,PROD_001123,234,0.6375,0.21,149.17
PO-2024-0000088,1,PROD_001973,212,1.9833,0.1,420.46
PO-2024-0000089,1,PROD_003497,359,1.0003,0.21,359.11
PO-2024-0000090,1,PROD_002403,144,1.402,0.1,201.89
PO-2024-0000090,2,PROD_003148,220,2.0888,0.21,459.54
PO-2024-0000091,1,PROD_000182,210,5.8602,0.04,1230.64
PO-2024-0000091,2,PROD_001530,107,0.9175,0.21,98.17
PO-2024-0000092,1,PROD_003299,213,1.013,0.21,215.77
PO-2024-0000093,1,PROD_003243,289,2.0143,0.21,582.13
PO-2024-0000094,1,PROD_000001,453,1.0281,0.21,465.73
PO-2024-0000094,2,PROD_000649,276,0.6727,0.1,185.67
PO-2024-0000095,1,PROD_002493,347,1.0545,0.04,365.91
PO-2024-0000096,1,PROD_001040,343,0.8856,0.1,303.76
PO-2024-0000096,2,PROD_003594,266,4.4037,0.1,1171.38
PO-2024-0000097,1,PROD_000692,267,2.134,0.1,569.78
PO-2024-0000098,1,PROD_002237,464,0.6365,0.1,295.34
PO-2024-0000099,1,PROD_000955,505,1.1693,0.04,590.5
PO-2024-0000100,1,PROD_003511,355,0.6213,0.21,220.56
PO-2024-0000101,1,PROD_000111,126,1.3797,0.04,173.84
PO-2024-0000102,1,PROD_002127,378,1.401,0.1,529.58
PO-2024-0000103,1,PROD_000360,370,4.8635,0.04,1799.5
PO-2024-0000103,2,PROD_001120,254,1.9906,0.21,505.61
PO-2024-0000104,1,PROD_002126,376,2.7119,0.1,1019.67
PO-2024-0000104,2,PROD_003637,224,1.9816,0.1,443.88
PO-2024-0000104,3,PROD_002535,499,2.2198,0.1,1107.68
PO-2024-0000105,1,PROD_002723,386,2.1949,0.1,847.23
PO-2024-0000106,1,PROD_001064,563,0.2472,0.21,139.17
PO-2024-0000107,1,PROD_003648,242,0.6347,0.1,153.6
