po_id,supplier_id,dc_id,order_date,expected_receipt_date,actual_receipt_date,status,incoterm,payment_terms,currency,total_cost_net,tax_amount,total_cost_gross
PO-2024-0000001,SUP_00016,DC_BCN,2024-01-01,2024-01-07,2024-01-07,received,DAP,30D,EUR,147.86,14.79,162.65
PO-2024-0000002,SUP_00015,DC_BCN,2024-01-01,2024-01-04,2024-01-04,received,DAP,30D,EUR,351.82,14.07,365.89
PO-2024-0000003,SUP_00005,DC_SEV,2024-01-01,2024-01-05,2024-01-05,received,DAP,30D,EUR,1106.35,110.63,1216.98
PO-2024-0000004,SUP_00007,DC_SEV,2024-01-01,2024-01-03,2024-01-03,received,DAP,30D,EUR,289.58,60.81,350.39
PO-2024-0000005,SUP_00005,DC_BCN,2024-01-01,2024-01-04,2024-01-04,received,DAP,30D,EUR,635.93,63.59,699.52
PO-2024-0000006,SUP_00015,DC_MAD,2024-01-01,2024-01-04,2024-01-04,received,DAP,30D,EUR,605.56,24.22,629.78
PO-2024-0000007,SUP_00019,DC_MAD,2024-01-01,2024-01-03,2024-01-03,received,DAP,30D,EUR,1079.97,108.0,1187.97
PO-2024-0000008,SUP_00007,DC_ZGZ,2024-01-01,2024-01-04,2024-01-04,received,DAP,30D,EUR,192.04,40.33,232.37
PO-2024-0000009,SUP_00015,DC_ZGZ,2024-01-01,2024-01-04,2024-01-04,received,DAP,30D,EUR,230.09,9.2,239.29
PO-2024-0000010,SUP_00016,DC_ZGZ,2024-01-01,2024-01-07,2024-01-07,received,DAP,30D,EUR,643.97,99.22,743.19
PO-2024-0000011,SUP_00007,DC_BCN,2024-01-02,2024-01-05,2024-01-05,received,DAP,30D,EUR,800.5,32.02,832.52
PO-2024-0000012,SUP_00005,DC_BCN,2024-01-03,2024-01-07,2024-01-07,received,DAP,30D,EUR,1141.88,114.19,1256.07
PO-2024-0000013,SUP_00017,DC_BCN,2024-01-03,2024-01-11,2024-01-11,received,DAP,30D,EUR,971.18,97.12,1068.3
PO-2024-0000014,SUP_00014,DC_BCN,2024-01-03,2024-01-14,2024-01-14,received,DAP,30D,EUR,2461.11,246.11,2707.22
PO-2024-0000015,SUP_00016,DC_BCN,2024-01-03,2024-01-07,2024-01-07,received,DAP,30D,EUR,1644.71,345.39,1990.1
PO-2024-0000016,SUP_00015,DC_BCN,2024-01-03,2024-01-06,2024-01-06,received,DAP,30D,EUR,952.92,38.12,991.04
PO-2024-0000017,SUP_00004,DC_BCN,2024-01-03,2024-01-15,2024-01-15,received,DAP,30D,EUR,185.76,39.01,224.77
PO-2024-0000018,SUP_00007,DC_BCN,2024-01-03,2024-01-06,2024-01-06,received,DAP,30D,EUR,488.16,19.53,507.69
PO-2024-0000019,SUP_00007,DC_BCN,2024-01-04,2024-01-07,2024-01-07,received,DAP,30D,EUR,110.26,4.41,114.67
PO-2024-0000020,SUP_00016,DC_BCN,2024-01-04,2024-01-09,2024-01-09,received,DAP,30D,EUR,215.99,21.6,237.59
PO-2024-0000021,SUP_00007,DC_SEV,2024-01-04,2024-01-07,2024-01-07,received,DAP,30D,EUR,114.61,24.07,138.68
PO-2024-0000022,SUP_00015,DC_ZGZ,2024-01-04,2024-01-07,2024-01-07,received,DAP,30D,EUR,416.13,16.65,432.78
PO-2024-0000023,SUP_00007,DC_MAD,2024-01-04,2024-01-07,2024-01-07,received,DAP,30D,EUR,1239.89,49.6,1289.49
PO-2024-0000024,SUP_00014,DC_BCN,2024-01-05,2024-01-13,2024-01-13,received,DAP,30D,EUR,811.09,81.11,892.2
PO-2024-0000025,SUP_00007,DC_SEV,2024-01-05,2024-01-08,2024-01-08,received,DAP,30D,EUR,773.42,30.94,804.36
PO-2024-0000026,SUP_00014,DC_SEV,2024-01-05,2024-01-16,2024-01-16,received,DAP,30D,EUR,587.12,58.71,645.83
PO-2024-0000027,SUP_00015,DC_BCN,2024-01-05,2024-01-08,2024-01-08,received,DAP,30D,EUR,261.2,10.45,271.65
PO-2024-0000028,SUP_00017,DC_BCN,2024-01-05,2024-01-14,2024-01-14,received,DAP,30D,EUR,448.56,44.86,493.42
PO-2024-0000029,SUP_00007,DC_BCN,2024-01-05,2024-01-09,2024-01-09,received,DAP,30D,EUR,457.26,18.29,475.55
PO-2024-0000030,SUP_00016,DC_BCN,2024-01-05,2024-01-10,2024-01-10,received,DAP,30D,EUR,182.27,38.28,220.55
PO-2024-0000031,SUP_00016,DC_MAD,2024-01-05,2024-01-10,2024-01-10,received,DAP,30D,EUR,758.56,103.45,862.01
PO-2024-0000032,SUP_00015,DC_MAD,2024-01-05,2024-01-08,2024-01-08,received,DAP,30D,EUR,259.39,10.38,269.77
PO-2024-0000033,SUP_00004,DC_VLC,2024-01-06,2024-01-14,2024-01-14,received,DAP,30D,EUR,225.67,47.39,273.06
PO-2024-0000034,SUP_00017,DC_BCN,2024-01-07,2024-01-16,2024-01-16,received,DAP,30D,EUR,267.86,26.79,294.65
PO-2024-0000035,SUP_00007,DC_SEV,2024-01-07,2024-01-09,2024-01-09,received,DAP,30D,EUR,590.0,23.6,613.6
PO-2024-0000036,SUP_00017,DC_ZGZ,2024-01-07,2024-01-14,2024-01-14,received,DAP,30D,EUR,116.83,11.68,128.51
PO-2024-0000037,SUP_00016,DC_ZGZ,2024-01-07,2024-01-13,2024-01-13,received,DAP,30D,EUR,633.41,133.02,766.43
PO-2024-0000038,SUP_00019,DC_ZGZ,2024-01-07,2024-01-09,2024-01-09,received,DAP,30D,EUR,424.24,42.42,466.66
PO-2024-0000039,SUP_00016,DC_MAD,2024-01-08,2024-01-13,2024-01-13,received,DAP,30D,EUR,861.24,86.12,947.36
PO-2024-0000040,SUP_00019,DC_MAD,2024-01-08,2024-01-10,2024-01-10,received,DAP,30D,EUR,2731.35,273.13,3004.48
PO-2024-0000041,SUP_00019,DC_SEV,2024-01-08,2024-01-10,2024-01-10,received,DAP,30D,EUR,1024.64,102.46,1127.1
PO-2024-0000042,SUP_00004,DC_SEV,2024-01-08,2024-01-19,2024-01-19,received,DAP,30D,EUR,219.83,46.16,265.99
