sale_id,line_number,product_id,quantity_ordered,quantity_delivered,unit_price_net,discount_pct,tax_rate,line_total_net
SO-2024-0000001,10,PROD_000656,4,4,0.7308,0.0,0.04,2.92
SO-2024-0000001,20,PROD_000188,2,2,2.4091,0.15,0.1,4.1
SO-2024-0000001,30,PROD_001596,1,1,2.2727,0.0,0.1,2.27
SO-2024-0000001,40,PROD_002888,3,3,1.7769,0.0,0.21,5.33
SO-2024-0000001,50,PROD_001877,1,1,2.314,0.0,0.21,2.31
SO-2024-0000001,60,PROD_000227,2,2,0.9091,0.0,0.1,1.82
SO-2024-0000001,70,PROD_002671,3,3,1.0744,0.0,0.21,3.22
SO-2024-0000001,80,PROD_001807,1,1,0.9504,0.0,0.21,0.95
SO-2024-0000001,90,PROD_002161,2,2,1.1818,0.0,0.1,2.36
SO-2024-0000001,100,PROD_001300,1,1,1.7273,0.0,0.1,1.73
SO-2024-0000001,110,PROD_003509,1,1,1.1983,0.0,0.21,1.2
SO-2024-0000001,120,PROD_002570,1,1,1.5385,0.0,0.04,1.54
SO-2024-0000001,130,PROD_003188,1,1,1.9008,0.0,0.21,1.9
SO-2024-0000001,140,PROD_003099,1,1,3.2231,0.2,0.21,2.58
SO-2024-0000001,150,PROD_002105,3,3,1.8347,0.0,0.21,5.5
SO-2024-0000001,160,PROD_002942,1,1,3.843,0.0,0.21,3.84
SO-2024-0000001,170,PROD_000683,2,2,1.9135,0.0,0.04,3.83
SO-2024-0000002,10,PROD_003190,1,1,2.8926,0.0,0.21,2.89
SO-2024-0000002,20,PROD_002005,1,1,3.3654,0.0,0.04,3.37
SO-2024-0000002,30,PROD_003052,1,1,1.5702,0.25,0.21,1.18
SO-2024-0000002,40,PROD_003173,2,2,3.2231,0.15,0.21,5.48
SO-2024-0000002,50,PROD_001097,4,4,1.8182,0.0,0.1,7.27
SO-2024-0000002,60,PROD_000674,1,1,11.0273,0.1,0.1,9.92
SO-2024-0000002,70,PROD_000852,1,1,1.0455,0.0,0.1,1.05
SO-2024-0000002,80,PROD_002910,1,1,4.8182,0.0,0.1,4.82
SO-2024-0000002,90,PROD_000600,1,1,1.2727,0.0,0.1,1.27
SO-2024-0000002,100,PROD_001026,1,1,3.9091,0.0,0.1,3.91
SO-2024-0000002,110,PROD_002714,1,1,3.5909,0.0,0.1,3.59
SO-2024-0000002,120,PROD_000872,3,3,1.5,0.0,0.04,4.5
SO-2024-0000002,130,PROD_003628,6,1,1.3306,0.0,0.21,1.33
SO-2024-0000002,140,PROD_003656,1,1,0.9091,0.0,0.1,0.91
SO-2024-0000002,150,PROD_003102,1,1,1.7727,0.0,0.1,1.77
SO-2024-0000002,160,PROD_001431,2,1,3.6364,0.1,0.1,3.27
SO-2024-0000002,170,PROD_002766,2,2,2.2562,0.0,0.21,4.51
SO-2024-0000003,10,PROD_002911,2,2,3.2727,0.0,0.1,6.55
SO-2024-0000003,20,PROD_001063,4,4,4.7727,0.0,0.1,19.09
SO-2024-0000003,30,PROD_001614,1,1,0.7727,0.0,0.1,0.77
SO-2024-0000003,40,PROD_000790,2,2,1.5818,0.0,0.1,3.16
SO-2024-0000003,50,PROD_003049,5,4,1.9008,0.0,0.21,7.6
SO-2024-0000003,60,PROD_002553,3,2,2.8818,0.0,0.1,5.76
SO-2024-0000003,70,PROD_002723,2,2,3.5909,0.0,0.1,7.18
SO-2024-0000003,80,PROD_000754,3,3,3.5636,0.0,0.1,10.69
SO-2024-0000004,10,PROD_002223,2,2,1.7885,0.0,0.04,3.58
SO-2024-0000004,20,PROD_002875,1,1,0.8678,0.0,0.21,0.87
SO-2024-0000004,30,PROD_003182,2,2,3.2231,0.0,0.21,6.45
SO-2024-0000004,40,PROD_000638,1,1,1.8269,0.0,0.04,1.83
SO-2024-0000004,50,PROD_000971,2,2,1.9835,0.0,0.21,3.97
SO-2024-0000004,60,PROD_001606,2,2,2.7364,0.0,0.1,5.47
SO-2024-0000004,70,PROD_001697,2,2,4.9,0.0,0.1,9.8
SO-2024-0000005,10,PROD_002856,1,1,1.3636,0.0,0.21,1.36
SO-2024-0000005,20,PROD_002800,1,1,0.9091,0.0,0.21,0.91
SO-2024-0000005,30,PROD_000837,2,2,1.0,0.0,0.21,2.0
SO-2024-0000005,40,PROD_002949,2,2,1.1074,0.0,0.21,2.21
SO-2024-0000005,50,PROD_001256,2,2,0.2727,0.0,0.21,0.55
SO-2024-0000005,60,PROD_001395,3,3,1.6545,0.0,0.1,4.96
SO-2024-0000005,70,PROD_003232,1,1,2.7273,0.0,0.21,2.73
SO-2024-0000005,80,PROD_000318,1,1,0.7308,0.0,0.04,0.73
SO-2024-0000005,90,PROD_001566,2,2,4.9545,0.0,0.1,9.91
SO-2024-0000005,100,PROD_002034,4,4,1.4545,0.0,0.1,5.82
SO-2024-0000005,110,PROD_002492,1,1,1.0577,0.0,0.04,1.06
SO-2024-0000005,120,PROD_001491,3,3,0.7025,0.0,0.21,2.11
SO-2024-0000005,130,PROD_002258,3,3,0.8678,0.0,0.21,2.6
SO-2024-0000005,140,PROD_001279,1,1,0.8182,0.0,0.1,0.82
SO-2024-0000005,150,PROD_001810,1,1,1.7692,0.0,0.04,1.77
SO-2024-0000005,160,PROD_003160,4,4,3.2231,0.2,0.21,10.31
SO-2024-0000005,170,PROD_000996,2,2,0.6364,0.0,0.1,1.27
SO-2024-0000005,180,PROD_001222,1,1,2.7273,0.0,0.1,2.73
SO-2024-0000005,190,PROD_003064,6,6,1.4876,0.0,0.21,8.93
SO-2024-0000005,200,PROD_002165,1,1,1.1157,0.1,0.21,1.0
SO-2024-0000005,210,PROD_002285,4,4,2.7818,0.0,0.1,11.13
SO-2024-0000006,10,PROD_001184,1,1,2.562,0.0,0.21,2.56
SO-2024-0000006,20,PROD_001322,1,1,2.0636,0.0,0.1,2.06
SO-2024-0000006,30,PROD_002911,4,4,3.2727,0.0,0.1,13.09
SO-2024-0000006,40,PROD_001246,3,3,3.8942,0.0,0.04,11.68
SO-2024-0000007,10,PROD_001413,4,4,5.3077,0.0,0.04,21.23
SO-2024-0000007,20,PROD_002468,1,1,0.9091,0.0,0.1,0.91
SO-2024-0000007,30,PROD_001681,3,3,0.9545,0.0,0.1,2.86
SO-2024-0000007,40,PROD_002527,5,4,4.3182,0.1,0.1,15.55
SO-2024-0000007,50,PROD_001799,1,1,2.562,0.0,0.21,2.56
SO-2024-0000007,60,PROD_002038,1,1,1.4545,0.0,0.1,1.45
SO-2024-0000007,70,PROD_001520,3,1,4.6442,0.2,0.04,3.72
SO-2024-0000007,80,PROD_002685,1,1,9.7107,0.0,0.21,9.71
SO-2024-0000008,10,PROD_003086,1,1,3.8182,0.0,0.1,3.82
SO-2024-0000008,20,PROD_000563,1,1,0.9091,0.0,0.1,0.91
SO-2024-0000008,30,PROD_001613,1,1,2.2727,0.0,0.1,2.27
SO-2024-0000008,40,PROD_003222,1,1,6.1983,0.0,0.21,6.2
SO-2024-0000008,50,PROD_003102,3,1,1.7727,0.0,0.1,1.77
SO-2024-0000008,60,PROD_002762,2,2,1.0744,0.0,0.21,2.15
SO-2024-0000008,70,PROD_001323,1,1,1.1538,0.0,0.04,1.15
SO-2024-0000008,80,PROD_001431,1,1,3.6364,0.0,0.1,3.64
SO-2024-0000008,90,PROD_001827,3,3,3.1818,0.0,0.1,9.55
SO-2024-0000008,100,PROD_002729,1,1,4.5,0.0,0.1,4.5
SO-2024-0000008,110,PROD_002436,2,2,1.3182,0.0,0.1,2.64
SO-2024-0000008,120,PROD_002911,2,2,3.2727,0.0,0.1,6.55
SO-2024-0000008,130,PROD_000311,2,2,2.1364,0.0,0.1,4.27
SO-2024-0000008,140,PROD_000367,1,1,2.3182,0.0,0.1,2.32
SO-2024-0000008,150,PROD_002723,5,5,3.5909,0.15,0.1,15.26
SO-2024-0000009,10,PROD_001372,2,2,2.1154,0.0,0.04,4.23
SO-2024-0000009,20,PROD_002516,5,5,1.6346,0.0,0.04,8.17
SO-2024-0000009,30,PROD_003080,1,1,3.3058,0.0,0.21,3.31
SO-2024-0000009,40,PROD_003494,1,1,1.2397,0.0,0.21,1.24
SO-2024-0000009,50,PROD_002872,1,1,0.8264,0.0,0.21,0.83
SO-2024-0000009,60,PROD_003276,3,3,1.4463,0.1,0.21,3.91
SO-2024-0000009,70,PROD_001987,3,3,5.4545,0.15,0.1,13.91
SO-2024-0000009,80,PROD_001408,6,6,2.0096,0.0,0.04,12.06
SO-2024-0000009,90,PROD_003421,6,6,2.3554,0.25,0.21,10.6
SO-2024-0000009,100,PROD_002007,1,1,1.3636,0.1,0.1,1.23
SO-2024-0000009,110,PROD_002045,2,2,3.0455,0.2,0.1,4.87
SO-2024-0000009,120,PROD_000524,1,1,6.4182,0.0,0.1,6.42
SO-2024-0000009,130,PROD_000832,1,1,1.3636,0.15,0.1,1.16
SO-2024-0000009,140,PROD_001421,1,1,1.2273,0.0,0.1,1.23
SO-2024-0000009,150,PROD_003498,2,2,0.6612,0.0,0.21,1.32
SO-2024-0000009,160,PROD_001934,1,1,1.4091,0.0,0.1,1.41
SO-2024-0000009,170,PROD_000538,1,1,2.7636,0.0,0.1,2.76
SO-2024-0000010,10,PROD_001105,2,2,1.5,0.0,0.1,3.0
SO-2024-0000010,20,PROD_001902,1,1,2.1818,0.0,0.1,2.18
SO-2024-0000010,30,PROD_000458,1,1,2.6364,0.0,0.1,2.64
SO-2024-0000010,40,PROD_000890,3,3,1.1154,0.0,0.04,3.35
SO-2024-0000010,50,PROD_001197,3,3,0.281,0.0,0.21,0.84
SO-2024-0000010,60,PROD_001586,3,3,1.7355,0.0,0.21,5.21
SO-2024-0000010,70,PROD_002948,1,1,2.6033,0.0,0.21,2.6
SO-2024-0000010,80,PROD_001509,2,2,6.0331,0.0,0.21,12.07
SO-2024-0000011,10,PROD_003025,4,4,3.2645,0.1,0.21,11.75
SO-2024-0000011,20,PROD_000617,1,1,1.1538,0.0,0.04,1.15
SO-2024-0000011,30,PROD_000536,1,1,10.5909,0.0,0.1,10.59
SO-2024-0000011,40,PROD_003284,1,1,0.9835,0.0,0.21,0.98
SO-2024-0000011,50,PROD_002736,2,2,1.5702,0.0,0.21,3.14
SO-2024-0000011,60,PROD_000629,3,3,2.0091,0.0,0.1,6.03
SO-2024-0000011,70,PROD_002616,3,3,0.8264,0.0,0.21,2.48
SO-2024-0000011,80,PROD_003141,1,1,3.719,0.15,0.21,3.16
SO-2024-0000011,90,PROD_003304,5,5,1.5289,0.0,0.21,7.64
SO-2024-0000012,10,PROD_001298,2,2,1.0096,0.0,0.04,2.02
SO-2024-0000012,20,PROD_002939,1,1,3.2231,0.0,0.21,3.22
SO-2024-0000012,30,PROD_003254,1,1,15.3727,0.0,0.1,15.37
SO-2024-0000012,40,PROD_001796,1,1,2.1455,0.0,0.1,2.15
SO-2024-0000012,50,PROD_000429,1,1,8.6909,0.0,0.1,8.69
SO-2024-0000012,60,PROD_002205,1,1,1.3636,0.0,0.1,1.36
SO-2024-0000012,70,PROD_001853,1,1,4.3269,0.0,0.04,4.33
SO-2024-0000012,80,PROD_002041,1,1,0.6731,0.0,0.04,0.67
SO-2024-0000012,90,PROD_000103,3,1,2.438,0.0,0.21,2.44
SO-2024-0000012,100,PROD_002605,2,2,1.7818,0.0,0.1,3.56
SO-2024-0000012,110,PROD_003261,1,1,4.7107,0.0,0.21,4.71
SO-2024-0000012,120,PROD_002144,1,1,1.5,0.0,0.04,1.5
SO-2024-0000012,130,PROD_002888,4,4,1.7769,0.0,0.21,7.11
SO-2024-0000013,10,PROD_001487,1,1,3.1818,0.0,0.1,3.18
SO-2024-0000013,20,PROD_002880,2,2,1.5455,0.0,0.1,3.09
SO-2024-0000013,30,PROD_002888,2,2,1.7769,0.0,0.21,3.55
SO-2024-0000013,40,PROD_001822,4,4,1.5962,0.0,0.04,6.38
SO-2024-0000013,50,PROD_002999,1,1,0.9545,0.0,0.1,0.95
SO-2024-0000013,60,PROD_002047,1,1,4.3636,0.0,0.1,4.36
SO-2024-0000013,70,PROD_003676,1,1,1.3942,0.0,0.04,1.39
SO-2024-0000013,80,PROD_002749,1,1,3.2231,0.0,0.21,3.22
SO-2024-0000013,90,PROD_001633,1,1,1.9091,0.0,0.1,1.91
SO-2024-0000013,100,PROD_000809,1,1,1.6818,0.0,0.1,1.68
SO-2024-0000013,110,PROD_001404,2,2,20.7273,0.0,0.1,41.45
SO-2024-0000013,120,PROD_002647,2,2,1.8182,0.0,0.21,3.64
SO-2024-0000013,130,PROD_000182,3,3,6.6346,0.0,0.04,19.9
