sale_id,order_date,order_ts,customer_id,store_id,dc_id,region,payment_method,payment_status,payment_days,channel,subtotal_net,tax_amount,total_gross,status,has_partial_stockout,num_items,ticket_trend
SO-2025-0000001,2025-12-22,2025-12-22T19:36:12,CUST_008D610461E3,,DC_BCN,Cataluña,contrareembolso,paid,0,ecommerce,55.45,11.65,67.1,confirmed,False,9,stable
SO-2025-0000002,2025-12-22,2025-12-22T10:31:52,CUST_989DE15CA666,ST_00981,,Cataluña,tarjeta,paid,0,tienda,38.47,6.36,44.83,confirmed,True,10,stable
SO-2025-0000003,2025-12-23,2025-12-23T11:19:06,CUST_67B01D7C0098,,DC_BCN,Cataluña,tarjeta,pending,15,ecommerce,129.54,25.5,155.04,confirmed,False,35,declining
SO-2025-0000004,2025-12-23,2025-12-23T12:37:48,CUST_113620509C62,ST_00952,,Cataluña,contrareembolso,paid,0,tienda,57.0,11.46,68.46,confirmed,True,10,growing
SO-2025-0000005,2025-12-23,2025-12-23T18:40:37,CUST_69298693FD9D,,DC_SEV,Canarias,contrareembolso,paid,0,ecommerce,50.64,9.0,59.64,confirmed,False,17,stable
SO-2025-0000006,2025-12-23,2025-12-23T17:52:41,CUST_27377A6A2107,,DC_SEV,Andalucía,transferencia,paid,0,ecommerce,161.91,32.02,193.93,confirmed,True,31,declining
SO-2025-0000007,2025-12-23,2025-12-23T12:16:42,CUST_6F462ACE1AA9,,DC_ZGZ,País Vasco,tarjeta,paid,0,ecommerce,55.4,11.18,66.58,confirmed,False,8,declining
SO-2025-0000008,2025-12-24,2025-12-24T13:28:28,CUST_0710F071D879,,DC_BCN,Cataluña,tarjeta,paid,0,ecommerce,26.98,5.67,32.65,confirmed,False,5,stable
SO-2025-0000009,2025-12-24,2025-12-24T18:54:35,CUST_13D5709B7D97,ST_01425,,Aragón,tarjeta,paid,0,tienda,86.26,18.12,104.38,confirmed,True,14,declining
SO-2025-0000010,2025-12-24,2025-12-24T10:55:54,CUST_87EA8DB06746,ST_00952,,Cataluña,tarjeta,paid,0,tienda,41.46,8.09,49.55,confirmed,True,12,declining
SO-2025-0000011,2025-12-24,2025-12-24T17:45:04,CUST_039F4D6168BD,ST_01294,,Canarias,tarjeta,paid,0,tienda,125.63,25.57,151.2,confirmed,True,29,declining
SO-2025-0000012,2025-12-24,2025-12-24T17:46:57,CUST_4D57D865D69A,,DC_ZGZ,País Vasco,tarjeta,paid,0,ecommerce,95.92,20.14,116.06,confirmed,False,11,stable
SO-2025-0000013,2025-12-24,2025-12-24T13:26:44,CUST_F75D6B2D5B09,,DC_SEV,Ciudad Autónoma de Melilla,transferencia,pending,15,ecommerce,153.31,31.98,185.29,confirmed,True,31,stable
SO-2025-0000014,2025-12-24,2025-12-24T17:08:00,CUST_B7F23DEFA849,,DC_SEV,Andalucía,tarjeta,paid,0,ecommerce,62.94,12.79,75.73,confirmed,False,17,stable
SO-2025-0000015,2025-12-24,2025-12-24T17:29:19,CUST_A436F2D3F761,ST_00981,,Cataluña,tarjeta,paid,0,tienda,80.54,16.91,97.45,confirmed,True,8,stable
SO-2025-0000016,2025-12-24,2025-12-24T20:53:00,CUST_A87990422EB7,,DC_MAD,Castilla y León,transferencia,pending,15,ecommerce,90.5,19.01,109.51,confirmed,False,11,declining
SO-2025-0000017,2025-12-24,2025-12-24T17:20:15,CUST_749057D337D3,,DC_MAD,Castilla-La Mancha,tarjeta,paid,0,ecommerce,24.43,4.62,29.05,confirmed,True,5,declining
SO-2025-0000018,2025-12-24,2025-12-24T12:38:45,CUST_9DB589A3C811,,DC_BCN,Cataluña,transferencia,paid,0,ecommerce,48.07,10.09,58.16,confirmed,False,11,declining
SO-2025-0000019,2025-12-25,2025-12-25T09:34:35,CUST_ABF3FEC21BBE,,DC_ZGZ,País Vasco,contrareembolso,pending,15,ecommerce,26.35,5.53,31.88,confirmed,False,3,stable
SO-2025-0000020,2025-12-25,2025-12-25T19:01:13,CUST_A66F39669FA7,,DC_ZGZ,Galicia,tarjeta,paid,0,ecommerce,26.2,5.32,31.52,confirmed,False,6,stable
SO-2025-0000021,2025-12-25,2025-12-25T10:05:11,CUST_CA3DC5CE099C,ST_01403,,Aragón,tarjeta,pending,15,tienda,73.08,15.35,88.43,confirmed,True,4,stable
SO-2025-0000022,2025-12-25,2025-12-25T17:09:22,CUST_F4488DE7AD6C,,DC_ZGZ,País Vasco,tarjeta,paid,0,ecommerce,100.88,18.18,119.06,confirmed,True,20,growing
SO-2025-0000023,2025-12-25,2025-12-25T17:11:35,CUST_6667E3B56360,,DC_BCN,Cataluña,tarjeta,pending,30,ecommerce,62.31,13.08,75.39,confirmed,True,16,declining
SO-2025-0000024,2025-12-25,2025-12-25T14:02:54,CUST_5D98F05EEEFE,ST_00374,,Comunitat Valenciana,transferencia,paid,0,tienda,136.85,28.47,165.32,confirmed,True,34,declining
SO-2025-0000025,2025-12-25,2025-12-25T18:24:54,CUST_4CE922D90DB3,,DC_BCN,Cataluña,tarjeta,paid,0,ecommerce,18.09,1.81,19.9,confirmed,False,1,declining
