movement_id,date,product_id,location_type,location_id,movement_type,reason,reference_id,quantity_delta,quantity_after
MOV_000000001,2025-12-22,PROD_000646,DC,DC_BCN,OUT,sale,ORD_00000001,-4,206
MOV_000000002,2025-12-22,PROD_003015,DC,DC_BCN,OUT,sale,ORD_00000001,-2,182
MOV_000000003,2025-12-22,PROD_000148,DC,DC_BCN,OUT,sale,ORD_00000001,-2,47
MOV_000000004,2025-12-22,PROD_001236,DC,DC_BCN,OUT,sale,ORD_00000001,-1,256
MOV_000000005,2025-12-22,PROD_002577,DC,DC_BCN,OUT,sale,ORD_00000001,-2,52
MOV_000000006,2025-12-22,PROD_002923,DC,DC_BCN,OUT,sale,ORD_00000001,-3,322
MOV_000000007,2025-12-22,PROD_000095,DC,DC_BCN,OUT,sale,ORD_00000001,-3,238
MOV_000000008,2025-12-22,PROD_001878,DC,DC_BCN,OUT,sale,ORD_00000001,-1,226
MOV_000000009,2025-12-22,PROD_001822,DC,DC_BCN,OUT,sale,ORD_00000001,-2,136
MOV_000000010,2025-12-22,PROD_002704,STORE,ST_00981,OUT,sale,ORD_00000002,-1,0
MOV_000000011,2025-12-22,PROD_002182,STORE,ST_00981,OUT,sale,ORD_00000002,-1,4
MOV_000000012,2025-12-22,PROD_002110,STORE,ST_00981,OUT,sale,ORD_00000002,-2,3
MOV_000000013,2025-12-22,PROD_000777,STORE,ST_00981,OUT,sale,ORD_00000002,-1,6
MOV_000000014,2025-12-22,PROD_001918,STORE,ST_00981,OUT,sale,ORD_00000002,-1,5
MOV_000000015,2025-12-22,PROD_001921,STORE,ST_00981,OUT,sale,ORD_00000002,-1,0
MOV_000000016,2025-12-22,PROD_000995,STORE,ST_00981,OUT,sale,ORD_00000002,-3,5
MOV_000000017,2025-12-22,PROD_001024,STORE,ST_00981,OUT,sale,ORD_00000002,-1,0
MOV_000000018,2025-12-22,PROD_000582,STORE,ST_00981,OUT,sale,ORD_00000002,-4,0
MOV_000000019,2025-12-22,PROD_000520,STORE,ST_00981,OUT,sale,ORD_00000002,-3,0
MOV_000000020,2025-12-23,PROD_000670,DC,DC_BCN,OUT,sale,ORD_00000003,-1,164
MOV_000000021,2025-12-23,PROD_001536,DC,DC_BCN,OUT,sale,ORD_00000003,-1,309
MOV_000000022,2025-12-23,PROD_002258,DC,DC_BCN,OUT,sale,ORD_00000003,-2,169
MOV_000000023,2025-12-23,PROD_002520,DC,DC_BCN,OUT,sale,ORD_00000003,-2,98
MOV_000000024,2025-12-23,PROD_001369,DC,DC_BCN,OUT,sale,ORD_00000003,-4,317
MOV_000000025,2025-12-23,PROD_003496,DC,DC_BCN,OUT,sale,ORD_00000003,-3,207
MOV_000000026,2025-12-23,PROD_003436,DC,DC_BCN,OUT,sale,ORD_00000003,-6,138
MOV_000000027,2025-12-23,PROD_003012,DC,DC_BCN,OUT,sale,ORD_00000003,-2,196
MOV_000000028,2025-12-23,PROD_003621,DC,DC_BCN,OUT,sale,ORD_00000003,-1,222
