snapshot_date,product_id,location_type,location_id,quantity_on_hand,quantity_reserved,quantity_in_transit,reorder_point,max_stock,unit_cost
2024-12-30,PROD_000001,DC,DC_MAD,161,0,0,140,458,1.1478
2024-12-30,PROD_000001,DC,DC_BCN,184,0,0,90,344,1.1286
2024-12-30,PROD_000001,DC,DC_VLC,258,0,0,111,289,1.034
2024-12-30,PROD_000001,DC,DC_SEV,439,0,0,197,453,1.0281
2024-12-30,PROD_000001,DC,DC_ZGZ,209,0,0,120,374,1.0205
2024-12-30,PROD_000001,STORE,ST_00277,5,0,0,2,7,1.0548
2024-12-30,PROD_000001,STORE,ST_00359,3,0,0,3,8,1.0201
2024-12-30,PROD_000001,STORE,ST_00374,5,0,0,5,13,1.0727
2024-12-30,PROD_000001,STORE,ST_00952,13,0,0,5,13,1.1887
2024-12-30,PROD_000001,STORE,ST_00981,5,0,0,3,9,1.1537
2024-12-30,PROD_000001,STORE,ST_01294,3,0,0,4,5,1.0052
2024-12-30,PROD_000001,STORE,ST_01403,6,0,0,4,6,1.044
2024-12-30,PROD_000001,STORE,ST_01467,3,0,0,4,6,1.1539
2024-12-30,PROD_000002,DC,DC_MAD,191,0,0,145,328,1.285
2024-12-30,PROD_000002,DC,DC_BCN,120,0,0,103,217,1.2749
2024-12-30,PROD_000002,DC,DC_VLC,115,0,0,103,227,1.188
2024-12-30,PROD_000002,DC,DC_SEV,84,0,0,78,265,1.1507
2024-12-30,PROD_000002,DC,DC_ZGZ,256,0,0,90,273,1.1408
2024-12-30,PROD_000002,STORE,ST_00076,1,0,0,3,6,1.0948
2024-12-30,PROD_000002,STORE,ST_00130,4,0,0,3,4,1.1999
2024-12-30,PROD_000002,STORE,ST_00277,0,0,0,2,9,1.1902
2024-12-30,PROD_000002,STORE,ST_00359,5,0,0,4,6,1.1677
2024-12-30,PROD_000002,STORE,ST_00938,0,0,0,2,9,1.2705
2024-12-30,PROD_000002,STORE,ST_00952,6,0,0,3,7,1.3106
2024-12-30,PROD_000002,STORE,ST_01294,3,0,0,3,4,1.0976
2024-12-30,PROD_000002,STORE,ST_01467,7,0,0,5,7,1.2546
2024-12-30,PROD_000003,DC,DC_MAD,392,0,0,126,415,1.3036
2024-12-30,PROD_000003,DC,DC_BCN,126,0,0,101,273,1.3529
2024-12-30,PROD_000003,DC,DC_VLC,248,0,0,120,306,1.2644
2024-12-30,PROD_000003,DC,DC_SEV,41,0,0,120,406,1.1823
2024-12-30,PROD_000003,DC,DC_ZGZ,234,0,0,120,261,1.2006
2024-12-30,PROD_000003,STORE,ST_00076,3,0,0,2,7,1.202
2024-12-30,PROD_000003,STORE,ST_00277,9,0,0,5,10,1.2274
2024-12-30,PROD_000003,STORE,ST_00359,0,0,0,3,7,1.2376
2024-12-30,PROD_000003,STORE,ST_01425,3,0,0,3,4,1.1866
2024-12-30,PROD_000004,DC,DC_MAD,354,0,0,240,522,2.979
2024-12-30,PROD_000004,DC,DC_BCN,292,0,0,123,334,3.1753
2024-12-30,PROD_000004,DC,DC_VLC,293,0,0,90,307,2.8182
2024-12-30,PROD_000004,DC,DC_SEV,233,0,0,214,479,2.754
2024-12-30,PROD_000004,DC,DC_ZGZ,148,0,0,89,348,2.7677
2024-12-30,PROD_000004,STORE,ST_00130,2,0,0,2,3,2.7782
2024-12-30,PROD_000004,STORE,ST_00277,9,0,0,6,9,2.8854
2024-12-30,PROD_000004,STORE,ST_00981,9,0,0,2,9,3.0689
2024-12-30,PROD_000004,STORE,ST_01294,4,0,0,5,6,2.6421
2024-12-30,PROD_000004,STORE,ST_01403,1,0,0,4,5,2.691
2024-12-30,PROD_000005,DC,DC_MAD,659,0,0,170,701,2.2986
2024-12-30,PROD_000005,DC,DC_BCN,147,0,0,127,394,2.3001
2024-12-30,PROD_000005,DC,DC_VLC,212,0,0,190,422,2.0978
2024-12-30,PROD_000005,DC,DC_SEV,381,0,0,179,460,2.0261
2024-12-30,PROD_000005,DC,DC_ZGZ,340,0,0,158,374,2.1065
2024-12-30,PROD_000005,STORE,ST_00076,3,0,0,3,7,2.0161
2024-12-30,PROD_000005,STORE,ST_00374,10,0,0,3,11,2.1006
2024-12-30,PROD_000005,STORE,ST_00981,7,0,0,2,9,2.3161
2024-12-30,PROD_000005,STORE,ST_01294,1,0,0,3,4,1.9965
2024-12-30,PROD_000005,STORE,ST_01403,4,0,0,4,5,2.048
2024-12-30,PROD_000005,STORE,ST_01467,2,0,0,3,4,2.3053
2024-12-30,PROD_000006,DC,DC_MAD,214,0,0,139,520,1.2891
2024-12-30,PROD_000006,DC,DC_BCN,94,0,0,105,278,1.3327
2024-12-30,PROD_000006,DC,DC_VLC,162,0,0,113,267,1.2242
2024-12-30,PROD_000006,DC,DC_SEV,421,0,0,137,489,1.1587
2024-12-30,PROD_000006,DC,DC_ZGZ,224,0,0,116,315,1.2035
2024-12-30,PROD_000006,STORE,ST_00359,4,0,0,4,6,1.1846
2024-12-30,PROD_000006,STORE,ST_00938,5,0,0,4,17,1.3209
2024-12-30,PROD_000006,STORE,ST_00952,9,0,0,2,9,1.3521
2024-12-30,PROD_000007,DC,DC_MAD,380,0,0,161,487,3.6758
2024-12-30,PROD_000007,DC,DC_BCN,159,0,0,79,245,3.8513
2024-12-30,PROD_000007,DC,DC_VLC,207,0,0,95,232,3.5674
2024-12-30,PROD_000007,DC,DC_SEV,232,0,0,109,423,3.2861
2024-12-30,PROD_000007,DC,DC_ZGZ,209,0,0,126,272,3.3604
2024-12-30,PROD_000007,STORE,ST_00076,4,0,0,2,5,3.4188
2024-12-30,PROD_000007,STORE,ST_00130,4,0,0,3,4,3.4303
2024-12-30,PROD_000007,STORE,ST_00277,4,0,0,4,8,3.5212
2024-12-30,PROD_000007,STORE,ST_00374,1,0,0,2,15,3.3823
2024-12-30,PROD_000007,STORE,ST_00938,6,0,0,6,16,3.8966
2024-12-30,PROD_000007,STORE,ST_01403,5,0,0,5,8,3.3709
2024-12-30,PROD_000007,STORE,ST_01467,0,0,0,4,5,3.7494
2024-12-30,PROD_000008,DC,DC_MAD,348,0,0,124,471,0.7601
2024-12-30,PROD_000008,DC,DC_BCN,277,0,0,115,277,0.7845
2024-12-30,PROD_000008,DC,DC_VLC,148,0,0,102,247,0.6963
2024-12-30,PROD_000008,DC,DC_SEV,270,0,0,126,363,0.6772
2024-12-30,PROD_000008,DC,DC_ZGZ,335,0,0,92,356,0.6761
2024-12-30,PROD_000008,STORE,ST_00374,11,0,0,2,17,0.719
2024-12-30,PROD_000008,STORE,ST_00952,7,0,0,4,9,0.7802
2024-12-30,PROD_000008,STORE,ST_01403,5,0,0,5,6,0.7106
2024-12-30,PROD_000008,STORE,ST_01425,1,0,0,2,3,0.6759
2024-12-30,PROD_000008,STORE,ST_01467,4,0,0,5,7,0.7861
2024-12-30,PROD_000009,DC,DC_MAD,61,0,0,133,545,1.1751
2024-12-30,PROD_000009,DC,DC_BCN,97,0,0,90,309,1.1968
2024-12-30,PROD_000009,DC,DC_VLC,247,0,0,90,269,1.1073
2024-12-30,PROD_000009,DC,DC_SEV,380,0,0,204,434,1.0762
2024-12-30,PROD_000009,DC,DC_ZGZ,108,0,0,101,354,1.0933
2024-12-30,PROD_000009,STORE,ST_00076,1,0,0,4,5,1.0689
2024-12-30,PROD_000009,STORE,ST_00277,9,0,0,3,10,1.0869
2024-12-30,PROD_000009,STORE,ST_00374,15,0,0,2,15,1.0994
2024-12-30,PROD_000009,STORE,ST_01294,5,0,0,4,5,1.0562
2024-12-30,PROD_000010,DC,DC_MAD,423,0,0,138,543,0.5048
2024-12-30,PROD_000010,DC,DC_BCN,197,0,0,75,294,0.4885
