stockout_id,date,customer_id,product_id,location_type,location_id,quantity_requested,quantity_available
STO_00000001,2025-12-22,CUST_989DE15CA666,PROD_002502,STORE,ST_00981,1,0
STO_00000002,2025-12-23,CUST_113620509C62,PROD_001923,STORE,ST_00952,1,0
STO_00000003,2025-12-23,CUST_27377A6A2107,PROD_000889,DC,DC_SEV,1,0
STO_00000004,2025-12-24,CUST_13D5709B7D97,PROD_000503,STORE,ST_01425,3,0
STO_00000005,2025-12-24,CUST_13D5709B7D97,PROD_002614,STORE,ST_01425,1,0
STO_00000006,2025-12-24,CUST_13D5709B7D97,PROD_002111,STORE,ST_01425,1,0
STO_00000007,2025-12-24,CUST_13D5709B7D97,PROD_001328,STORE,ST_01425,1,0
STO_00000008,2025-12-24,CUST_13D5709B7D97,PROD_001981,STORE,ST_01425,1,0
STO_00000009,2025-12-24,CUST_13D5709B7D97,PROD_002146,STORE,ST_01425,2,0
STO_00000010,2025-12-24,CUST_87EA8DB06746,PROD_001154,STORE,ST_00952,3,0
STO_00000011,2025-12-24,CUST_87EA8DB06746,PROD_002452,STORE,ST_00952,2,0
STO_00000012,2025-12-24,CUST_87EA8DB06746,PROD_003553,STORE,ST_00952,1,0
STO_00000013,2025-12-24,CUST_039F4D6168BD,PROD_002926,STORE,ST_01294,1,0
STO_00000014,2025-12-24,CUST_039F4D6168BD,PROD_002434,STORE,ST_01294,1,0
STO_00000015,2025-12-24,CUST_039F4D6168BD,PROD_000593,STORE,ST_01294,2,0
STO_00000016,2025-12-24,CUST_039F4D6168BD,PROD_003346,STORE,ST_01294,2,0
STO_00000017,2025-12-24,CUST_039F4D6168BD,PROD_000452,STORE,ST_01294,1,0
STO_00000018,2025-12-24,CUST_F75D6B2D5B09,PROD_003229,DC,DC_SEV,2,0
STO_00000019,2025-12-24,CUST_749057D337D3,PROD_001771,DC,DC_MAD,4,0
STO_00000020,2025-12-25,CUST_CA3DC5CE099C,PROD_002498,STORE,ST_01403,1,0
STO_00000021,2025-12-25,CUST_F4488DE7AD6C,PROD_002251,DC,DC_ZGZ,1,0
STO_00000022,2025-12-25,CUST_F4488DE7AD6C,PROD_002169,DC,DC_ZGZ,2,0
STO_00000023,2025-12-25,CUST_6667E3B56360,PROD_001118,DC,DC_BCN,1,0
STO_00000024,2025-12-25,CUST_5D98F05EEEFE,PROD_000425,STORE,ST_00374,2,0
STO_00000025,2025-12-25,CUST_5D98F05EEEFE,PROD_001778,STORE,ST_00374,5,0
STO_00000026,2025-12-25,CUST_5D98F05EEEFE,PROD_002039,STORE,ST_00374,2,0
STO_00000027,2025-12-25,CUST_5D98F05EEEFE,PROD_000372,STORE,ST_00374,2,0
STO_00000028,2025-12-25,CUST_68F8EEB19AD2,PROD_002420,DC,DC_BCN,2,0
STO_00000029,2025-12-25,CUST_7D35788FD0CD,PROD_001862,STORE,ST_00952,2,0
STO_00000030,2025-12-26,CUST_30B1310C0C00,PROD_003501,DC,DC_BCN,2,0
STO_00000031,2025-12-26,CUST_30B1310C0C00,PROD_000247,DC,DC_BCN,1,0
STO_00000032,2025-12-26,CUST_DD3F52BDC661,PROD_002812,DC,DC_ZGZ,1,0
STO_00000033,2025-12-26,CUST_DD3F52BDC661,PROD_000275,DC,DC_ZGZ,1,0
STO_00000034,2025-12-26,CUST_DD3F52BDC661,PROD_001877,DC,DC_ZGZ,3,0
STO_00000035,2025-12-26,CUST_86342BA6ADB3,PROD_001263,STORE,ST_00952,3,0
STO_00000036,2025-12-26,CUST_F2D28E85140D,PROD_001217,STORE,ST_00981,2,0
STO_00000037,2025-12-26,CUST_F2D28E85140D,PROD_003503,STORE,ST_00981,1,0
STO_00000038,2025-12-26,CUST_F2D28E85140D,PROD_000439,STORE,ST_00981,1,0
STO_00000039,2025-12-26,CUST_68F8EEB19AD2,PROD_002732,STORE,ST_00952,1,0
STO_00000040,2025-12-26,CUST_68F8EEB19AD2,PROD_001862,STORE,ST_00952,4,0
STO_00000041,2025-12-26,CUST_68F8EEB19AD2,PROD_000788,STORE,ST_00952,2,0
STO_00000042,2025-12-27,CUST_008D610461E3,PROD_000298,STORE,ST_00952,1,0
STO_00000043,2025-12-27,CUST_008D610461E3,PROD_002279,STORE,ST_00952,3,0
STO_00000044,2025-12-27,CUST_69298693FD9D,PROD_001270,STORE,ST_01294,3,0
STO_00000045,2025-12-27,CUST_5D98F05EEEFE,PROD_003016,STORE,ST_00374,2,0
STO_00000046,2025-12-27,CUST_5D98F05EEEFE,PROD_000871,STORE,ST_00374,6,0
STO_00000047,2025-12-27,CUST_5D98F05EEEFE,PROD_002390,STORE,ST_00374,1,0
STO_00000048,2025-12-27,CUST_9DB589A3C811,PROD_001742,STORE,ST_00952,1,0
STO_00000049,2025-12-27,CUST_68F8EEB19AD2,PROD_001932,DC,DC_BCN,2,0
STO_00000050,2025-12-28,CUST_67B01D7C0098,PROD_003042,STORE,ST_00952,1,0
