store_id,name,postal_code,municipality,province,ccaa,dc_id,opening_date,sqm,latitude,longitude,active
ST_00130,"Mercadona Cartagena - C/ Real, 12",30200,Cartagena,Murcia,Región de Murcia,DC_VLC,2022-08-02,1205,,,True
ST_00277,"Mercadona Alicante - Plaza Río Segura, 147",03001,Alicante,Alicante,Comunitat Valenciana,DC_VLC,2010-04-02,1965,,,True
ST_00359,"Mercadona Castellón de la Plana - C/ Duque, 166",03002,Castellón de la Plana,Castellón,Comunitat Valenciana,DC_VLC,2018-07-27,2312,,,True
ST_00374,"Mercadona Vila-real - C/ Príncipe, 55",46100,Vila-real,Castellón,Comunitat Valenciana,DC_VLC,2017-05-02,3324,,,True
ST_00952,"Mercadona Barcelona - C/ Príncipe, 55",08030,Barcelona,Barcelona,Cataluña,DC_BCN,2013-05-12,2179,,,True
ST_00981,"Mercadona Badalona - C/ Farmacéutico, 40",08500,Badalona,Barcelona,Cataluña,DC_BCN,2014-02-26,2179,,,True
ST_01294,"Mercadona Santa Cruz de Tenerife - Bulevar Poeta Lorca, 9",38005,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,DC_SEV,2021-08-13,1997,,,True
ST_01403,"Mercadona Zaragoza - C/ Real, 139",50002,Zaragoza,Zaragoza,Aragón,DC_ZGZ,2017-12-16,2058,,,True
ST_01425,"Mercadona Cuarte de Huerva - Ronda Reina, 196",50300,Cuarte de Huerva,Zaragoza,Aragón,DC_ZGZ,2014-02-24,1234,,,True
ST_01467,"Mercadona Olivenza - C/ General Perón, 169",06001,Olivenza,Badajoz,Extremadura,DC_MAD,2011-07-20,984,,,True
