payment_id,po_id,supplier_id,dc_id,obligation_date,due_date,payment_date,amount_net,amount_gross,status,days_late
SP-2024-0000003,PO-2024-0000003,SUP_00005,DC_SEV,2024-01-01,2024-01-31,2024-01-31,1106.35,1216.98,paid,0
SP-2024-0000005,PO-2024-0000005,SUP_00005,DC_BCN,2024-01-01,2024-01-31,2024-01-31,635.93,699.52,paid,0
SP-2024-0000012,PO-2024-0000012,SUP_00005,DC_BCN,2024-01-03,2024-02-02,2024-02-02,1141.88,1256.07,paid,0
SP-2024-0000013,PO-2024-0000013,SUP_00017,DC_BCN,2024-01-03,2024-02-02,2024-02-02,971.18,1068.3,paid,0
SP-2024-0000017,PO-2024-0000017,SUP_00004,DC_BCN,2024-01-03,2024-02-02,2024-02-02,185.76,224.77,paid,0
SP-2024-0000028,PO-2024-0000028,SUP_00017,DC_BCN,2024-01-05,2024-02-04,2024-02-04,448.56,493.42,paid,0
SP-2024-0000033,PO-2024-0000033,SUP_00004,DC_VLC,2024-01-06,2024-02-05,2024-02-05,225.67,273.06,paid,0
SP-2024-0000034,PO-2024-0000034,SUP_00017,DC_BCN,2024-01-07,2024-02-06,2024-02-06,267.86,294.65,paid,0
SP-2024-0000036,PO-2024-0000036,SUP_00017,DC_ZGZ,2024-01-07,2024-02-06,2024-02-18,116.83,128.51,paid,12
SP-2024-0000042,PO-2024-0000042,SUP_00004,DC_SEV,2024-01-08,2024-02-07,2024-02-11,219.83,265.99,paid,4
SP-2024-0000045,PO-2024-0000045,SUP_00017,DC_BCN,2024-01-09,2024-02-08,2024-02-08,539.11,593.02,paid,0
SP-2024-0000047,PO-2024-0000047,SUP_00004,DC_VLC,2024-01-09,2024-02-08,2024-02-08,154.75,187.25,paid,0
SP-2024-0000059,PO-2024-0000059,SUP_00017,DC_ZGZ,2024-01-12,2024-02-11,2024-02-11,573.13,630.44,paid,0
SP-2024-0000060,PO-2024-0000060,SUP_00017,DC_SEV,2024-01-12,2024-02-11,2024-02-11,394.98,434.48,paid,0
SP-2024-0000062,PO-2024-0000062,SUP_00004,DC_SEV,2024-01-12,2024-02-11,2024-02-11,322.52,390.25,paid,0
SP-2024-0000064,PO-2024-0000064,SUP_00017,DC_BCN,2024-01-13,2024-02-12,2024-02-12,388.44,427.28,paid,0
SP-2024-0000071,PO-2024-0000071,SUP_00004,DC_MAD,2024-01-14,2024-02-13,2024-02-20,157.96,191.13,paid,7
SP-2024-0000073,PO-2024-0000073,SUP_00004,DC_VLC,2024-01-15,2024-02-14,2024-02-14,428.74,518.78,paid,0
SP-2024-0000080,PO-2024-0000080,SUP_00017,DC_BCN,2024-01-17,2024-02-16,2024-02-16,1234.57,1358.03,paid,0
SP-2024-0000082,PO-2024-0000082,SUP_00017,DC_SEV,2024-01-17,2024-02-16,2024-02-16,303.09,333.4,paid,0
SP-2024-0000083,PO-2024-0000083,SUP_00004,DC_BCN,2024-01-17,2024-02-16,2024-02-16,114.34,138.35,paid,0
SP-2024-0000085,PO-2024-0000085,SUP_00017,DC_MAD,2024-01-17,2024-02-16,2024-02-17,461.06,507.17,paid,1
SP-2024-0000086,PO-2024-0000086,SUP_00005,DC_MAD,2024-01-17,2024-02-16,2024-02-16,215.08,236.59,paid,0
SP-2024-0000089,PO-2024-0000089,SUP_00004,DC_MAD,2024-01-19,2024-02-18,2024-02-18,359.11,434.52,paid,0
SP-2024-0000092,PO-2024-0000092,SUP_00004,DC_BCN,2024-01-20,2024-02-19,2024-02-19,215.77,261.08,paid,0
SP-2024-0000096,PO-2024-0000096,SUP_00017,DC_BCN,2024-01-23,2024-02-22,2024-02-22,1475.14,1622.65,paid,0
SP-2024-0000098,PO-2024-0000098,SUP_00017,DC_MAD,2024-01-23,2024-02-22,2024-02-22,295.34,324.87,paid,0
SP-2024-0000100,PO-2024-0000100,SUP_00004,DC_VLC,2024-01-23,2024-02-22,2024-02-22,220.56,266.88,paid,0
SP-2024-0000105,PO-2024-0000105,SUP_00005,DC_SEV,2024-01-25,2024-02-24,2024-02-24,847.23,931.95,paid,0
SP-2024-0000107,PO-2024-0000107,SUP_00017,DC_BCN,2024-01-25,2024-02-24,2024-02-24,153.6,168.96,paid,0
SP-2024-0000113,PO-2024-0000113,SUP_00004,DC_VLC,2024-01-26,2024-02-25,2024-02-25,193.47,234.1,paid,0
SP-2024-0000119,PO-2024-0000119,SUP_00017,DC_BCN,2024-01-27,2024-02-26,2024-02-26,1115.15,1226.67,paid,0
SP-2024-0000121,PO-2024-0000121,SUP_00004,DC_ZGZ,2024-01-27,2024-02-26,2024-02-26,1293.87,1565.58,paid,0
